language_group,target,status,phenotype,detector,view,propositions
english,Lateral Meniscus,negative,abnormality_absent,v3_target,strict,192
cyrillic_script,Medial Meniscus,positive,abnormality,v2_exact,strict,186
turkish,Medial Meniscus,positive,degeneration,v2_exact,strict,182
english,ACL,negative,abnormality_absent,v2_collective,strict,179
south_slavic,Medial Meniscus,positive,tear,v3_target,strict,178
spanish,Effusion,negative,abnormality_absent,v2_exact,strict,171
greek_script,Effusion,positive,abnormality,v2_exact,strict,170
spanish,Medial OA,negative,abnormality_absent,v2_collective,strict,165
spanish,Lateral OA,negative,abnormality_absent,v2_collective,strict,164
south_slavic,MCL,negative,abnormality_absent,v2_exact,strict,163
turkish,Lateral Meniscus,positive,degeneration,v3_target,strict,160
english,MCL,positive,sprain,v3_target,strict,157
greek_script,Effusion,positive,joint_effusion,v3_morphology,strict,155
spanish,Lateral Meniscus,positive,tear,v3_target,strict,155
turkish,MCL,negative,abnormality_absent,v2_collective,strict,155
spanish,Lateral Meniscus,positive,tear,v2_exact,strict,155
english,MCL,positive,sprain,v2_exact,strict,154
english,Lateral OA,negative,normal_cartilage,v3_target,strict,153
south_slavic,ACL,negative,normal_structure,v3_target,strict,150
south_slavic,MCL,negative,normal_structure,v3_target,strict,150
german,ACL,negative,abnormality_absent,v2_collective,strict,148
south_slavic,Baker's,negative,abnormality_absent,v2_exact,strict,146
english,Medial Meniscus,positive,degeneration,v3_target,strict,145
english,Fracture,positive,fracture,v2_exact,strict,145
english,Fracture,positive,fracture,v3_morphology,strict,143
english,ACL,negative,abnormality_absent,v3_target,strict,143
south_slavic,Medial Meniscus,positive,tear,v2_exact,strict,138
turkish,ACL,positive,degeneration,v3_target,strict,136
cyrillic_script,ACL,negative,abnormality_absent,v2_collective,strict,134
spanish,Synovitis,positive,abnormality,v2_exact,strict,133
turkish,Lateral Meniscus,positive,degeneration,v2_exact,strict,133
turkish,Effusion,negative,joint_effusion_absent,v3_morphology,strict,132
south_slavic,Lateral Meniscus,negative,abnormality_absent,v3_target,strict,132
south_slavic,MCL,negative,abnormality_absent,v2_collective,strict,131
spanish,Lateral Meniscus,negative,abnormality_absent,v2_collective,strict,128
turkish,Effusion,negative,abnormality_absent,v2_exact,strict,128
spanish,Medial Meniscus,negative,abnormality_absent,v2_collective,strict,127
spanish,Lateral Meniscus,negative,abnormality_absent,v2_exact,strict,127
spanish,Lateral Meniscus,negative,abnormality_absent,v3_target,strict,123
greek_script,MCL,negative,abnormality_absent,v2_collective,strict,120
cyrillic_script,MCL,negative,abnormality_absent,v2_collective,strict,119
spanish,Medial Meniscus,negative,abnormality_absent,v2_exact,strict,115
english,Medial Meniscus,positive,degeneration,v2_exact,strict,114
spanish,PF OA,negative,normal_cartilage,v3_target,strict,113
greek_script,Baker's,positive,baker_cyst,v3_morphology,strict,113
german,Effusion,positive,abnormality,v2_exact,strict,112
spanish,Medial Meniscus,negative,abnormality_absent,v3_target,strict,112
english,ACL,positive,abnormality,v2_exact,strict,112
french,Effusion,positive,abnormality,v2_exact,strict,110
german,Effusion,positive,joint_effusion,v3_morphology,strict,107
english,MCL,positive,tear,v3_target,strict,104
spanish,PF OA,negative,abnormality_absent,v2_collective,strict,104
greek_script,Medial Meniscus,positive,tear,v2_exact,strict,101
english,MCL,positive,tear,v2_exact,strict,101
english,ACL,positive,degeneration,v2_exact,strict,99
south_slavic,Effusion,negative,abnormality_absent,v2_exact,strict,99
dutch,Effusion,positive,abnormality,v2_exact,strict,98
dutch,PF OA,positive,chondral_abnormality,v3_target,strict,97
english,ACL,positive,abnormality,v3_target,strict,96
south_slavic,Baker's,positive,baker_cyst,v3_morphology,strict,96
english,ACL,positive,degeneration,v3_target,strict,95
south_slavic,PF OA,positive,chondral_abnormality,v3_target,strict,95
cyrillic_script,Baker's,positive,abnormality,v2_exact,strict,95
english,Medial OA,negative,normal_cartilage,v3_target,strict,95
turkish,MCL,positive,sprain,v3_target,strict,94
south_slavic,ACL,positive,degeneration,v3_target,strict,93
spanish,Fracture,positive,fracture,v3_morphology,strict,92
cyrillic_script,Lateral Meniscus,negative,normal_structure,v3_target,strict,90
spanish,Baker's,positive,abnormality,v2_exact,strict,90
spanish,Medial OA,positive,chondral_abnormality,v3_target,strict,90
spanish,Fracture,positive,fracture,v2_exact,strict,90
turkish,ACL,positive,tear,v3_target,strict,88
german,Lateral Meniscus,negative,abnormality_absent,v2_exact,strict,87
german,PF OA,positive,chondral_abnormality,v3_target,strict,86
cyrillic_script,Lateral Meniscus,negative,abnormality_absent,v2_exact,strict,85
german,Lateral Meniscus,negative,normal_structure,v3_target,strict,85
greek_script,Medial Meniscus,positive,tear,v3_target,strict,84
spanish,PF OA,positive,chondral_abnormality,v3_target,strict,81
greek_script,Baker's,positive,abnormality,v2_exact,strict,81
south_slavic,ACL,negative,abnormality_absent,v2_exact,strict,80
greek_script,ACL,negative,abnormality_absent,v2_collective,strict,80
turkish,Baker's,positive,baker_cyst,v3_morphology,strict,79
south_slavic,Lateral Meniscus,positive,degeneration,v3_target,strict,78
cyrillic_script,Effusion,negative,abnormality_absent,v2_exact,strict,78
spanish,PF OA,negative,abnormality_absent,v2_exact,strict,77
south_slavic,Lateral Meniscus,positive,tear,v3_target,strict,75
spanish,ACL,positive,tear,v3_target,strict,74
south_slavic,Baker's,negative,baker_cyst_absent,v3_morphology,strict,74
spanish,Medial OA,positive,chondral_abnormality,v2_exact,strict,73
english,Lateral Meniscus,uncertain,tear,v3_target,strict,73
spanish,ACL,positive,tear,v2_exact,strict,73
south_slavic,Medial Meniscus,negative,abnormality_absent,v2_exact,strict,72
spanish,PF OA,positive,chondral_abnormality,v2_exact,strict,72
english,MCL,positive,abnormality,v2_exact,strict,71
turkish,PF OA,positive,chondral_abnormality,v3_target,strict,71
english,Lateral Meniscus,positive,degeneration,v3_target,strict,71
south_slavic,Baker's,positive,abnormality,v2_exact,strict,70
turkish,ACL,positive,degeneration,v2_exact,strict,70
turkish,Lateral Meniscus,positive,tear,v3_target,strict,70
english,Medial Meniscus,negative,abnormality_absent,v3_target,strict,69
english,Lateral Meniscus,uncertain,tear,v2_exact,strict,69
south_slavic,Lateral Meniscus,negative,normal_structure,v3_target,strict,67
english,Contusion,positive,abnormality,v2_exact,strict,67
turkish,ACL,positive,tear,v2_exact,strict,67
german,MCL,negative,normal_structure,v3_target,strict,67
greek_script,Medial OA,positive,chondral_abnormality,v3_target,strict,67
german,MCL,negative,abnormality_absent,v2_exact,strict,66
german,Baker's,positive,baker_cyst,v3_morphology,strict,66
south_slavic,ACL,positive,tear,v3_target,strict,66
turkish,Lateral Meniscus,positive,tear,v2_exact,strict,63
german,Baker's,positive,abnormality,v2_exact,strict,63
south_slavic,Medial Meniscus,negative,abnormality_absent,v3_target,strict,63
greek_script,PF OA,positive,chondral_abnormality,v3_target,strict,62
dutch,Medial Meniscus,positive,degeneration,v3_target,strict,62
south_slavic,Lateral Meniscus,positive,tear,v2_exact,strict,62
turkish,Medial Meniscus,negative,abnormality_absent,v2_collective,strict,61
english,Medial Meniscus,uncertain,tear,v2_exact,strict,61
english,Medial Meniscus,uncertain,tear,v3_target,strict,61
german,MCL,negative,abnormality_absent,v2_collective,strict,61
english,MCL,positive,abnormality,v3_target,strict,60
english,Effusion,positive,joint_effusion,v3_morphology,linked,60
dutch,Baker's,positive,baker_cyst,v3_morphology,strict,60
spanish,Lateral OA,positive,chondral_abnormality,v3_target,strict,58
turkish,MCL,positive,sprain,v2_exact,strict,58
greek_script,Contusion,positive,bone_contusion,v3_morphology,strict,58
south_slavic,ACL,positive,tear,v2_exact,strict,58
south_slavic,Medial OA,positive,chondral_abnormality,v3_target,strict,58
turkish,Medial Meniscus,positive,abnormality,v3_target,strict,56
english,Lateral Meniscus,positive,degeneration,v2_exact,strict,56
turkish,Medial Meniscus,positive,abnormality,v2_exact,strict,55
dutch,ACL,negative,abnormality_absent,v2_collective,strict,55
french,Baker's,negative,abnormality_absent,v2_exact,strict,55
dutch,MCL,negative,abnormality_absent,v2_collective,strict,54
greek_script,Fracture,positive,fracture,v3_morphology,strict,53
turkish,Medial Meniscus,negative,normal_structure,v3_target,strict,53
english,Baker's,positive,tear,v2_exact,strict,52
spanish,Lateral OA,positive,chondral_abnormality,v2_exact,strict,52
south_slavic,ACL,negative,abnormality_absent,v2_collective,strict,52
turkish,Medial Meniscus,negative,abnormality_absent,v2_exact,strict,51
dutch,Medial Meniscus,positive,degeneration,v2_exact,strict,51
cyrillic_script,PF OA,negative,normal_cartilage,v3_target,strict,50
greek_script,Fracture,positive,fracture,v2_exact,strict,50
german,Fracture,negative,fracture_absent,v3_morphology,strict,49
french,Medial Meniscus,positive,degeneration,v3_target,strict,49
south_slavic,Medial Meniscus,positive,degeneration,v3_target,strict,48
german,PF OA,negative,abnormality_absent,v2_exact,strict,48
greek_script,Medial Meniscus,positive,degeneration,v3_target,strict,48
german,Lateral Meniscus,negative,abnormality_absent,v2_collective,strict,48
german,Effusion,negative,abnormality_absent,v2_exact,strict,46
german,Contusion,negative,bone_contusion_absent,v3_morphology,strict,45
french,MCL,negative,normal_structure,v3_target,strict,45
spanish,MCL,positive,tear,v3_target,strict,45
spanish,Medial OA,positive,chondral_abnormality,v2_collective,strict,45
french,Lateral Meniscus,negative,abnormality_absent,v2_exact,strict,45
german,Medial Meniscus,negative,abnormality_absent,v2_collective,strict,45
spanish,Lateral OA,positive,chondral_abnormality,v2_collective,strict,45
turkish,ACL,negative,abnormality_absent,v2_exact,strict,45
english,Fracture,uncertain,fracture,v3_morphology,strict,45
greek_script,Lateral Meniscus,positive,tear,v2_exact,strict,44
dutch,Lateral Meniscus,negative,abnormality_absent,v2_exact,strict,44
greek_script,ACL,positive,tear,v2_exact,strict,44
turkish,ACL,negative,normal_structure,v3_target,strict,44
dutch,ACL,negative,normal_structure,v3_target,strict,44
dutch,Medial OA,positive,chondral_abnormality,v3_target,strict,43
greek_script,ACL,positive,tear,v3_target,strict,43
dutch,Lateral Meniscus,negative,normal_structure,v3_target,strict,43
german,Medial Meniscus,negative,normal_structure,v3_target,strict,43
dutch,ACL,negative,abnormality_absent,v2_exact,strict,43
cyrillic_script,ACL,positive,abnormality,v3_target,strict,42
english,Fracture,uncertain,fracture,v2_exact,strict,42
german,Effusion,negative,joint_effusion_absent,v3_morphology,strict,42
spanish,MCL,positive,tear,v2_exact,strict,41
cyrillic_script,ACL,positive,abnormality,v2_exact,strict,41
german,Contusion,negative,abnormality_absent,v2_exact,strict,41
dutch,Medial Meniscus,negative,abnormality_absent,v2_collective,strict,40
dutch,Lateral Meniscus,negative,abnormality_absent,v2_collective,strict,40
spanish,Contusion,positive,abnormality,v2_exact,strict,39
greek_script,Lateral Meniscus,negative,normal_structure,v3_target,strict,39
german,PF OA,negative,normal_cartilage,v3_target,strict,39
german,Medial Meniscus,negative,abnormality_absent,v2_exact,strict,39
german,Fracture,negative,abnormality_absent,v2_exact,strict,38
german,PF OA,positive,chondral_abnormality,v2_exact,strict,38
turkish,Baker's,positive,abnormality,v2_exact,strict,37
spanish,PF OA,positive,chondral_abnormality,v2_collective,strict,36
german,Medial Meniscus,positive,degeneration,v3_target,strict,36
greek_script,Synovitis,positive,synovitis,v3_morphology,strict,36
cyrillic_script,Lateral Meniscus,positive,abnormality,v3_target,strict,35
german,Contusion,positive,bone_contusion,v3_morphology,strict,35
greek_script,Lateral OA,positive,chondral_abnormality,v3_target,strict,34
turkish,Contusion,positive,bone_contusion,v3_morphology,strict,33
greek_script,Lateral Meniscus,negative,abnormality_absent,v2_collective,strict,33
dutch,Baker's,positive,abnormality,v2_exact,strict,33
french,MCL,negative,abnormality_absent,v2_exact,strict,33
greek_script,Effusion,negative,joint_effusion_absent,v3_morphology,strict,33
greek_script,Lateral Meniscus,positive,tear,v3_target,strict,33
greek_script,Medial Meniscus,negative,abnormality_absent,v2_collective,strict,33
french,Lateral Meniscus,negative,normal_structure,v3_target,strict,32
south_slavic,Lateral OA,positive,chondral_abnormality,v3_target,strict,31
greek_script,Lateral Meniscus,negative,abnormality_absent,v2_exact,strict,31
french,Baker's,positive,abnormality,v2_exact,strict,31
turkish,Medial OA,positive,degeneration,v2_exact,strict,31
turkish,Medial OA,positive,chondral_abnormality,v3_target,strict,30
cyrillic_script,Contusion,positive,bone_contusion,v3_morphology,strict,30
south_slavic,MCL,negative,abnormality_absent,v3_target,strict,29
english,Effusion,negative,joint_effusion_absent,v3_morphology,linked,29
french,Fracture,negative,fracture_absent,v3_morphology,strict,29
french,Medial Meniscus,positive,abnormality,v3_target,strict,28
turkish,PF OA,positive,chondral_abnormality,v2_exact,strict,28
french,Medial Meniscus,positive,abnormality,v2_exact,strict,28
cyrillic_script,Lateral Meniscus,positive,abnormality,v2_exact,strict,28
turkish,PF OA,positive,degeneration,v2_exact,strict,28
cyrillic_script,Medial Meniscus,positive,tear,v2_exact,strict,27
french,ACL,negative,abnormality_absent,v2_exact,strict,27
cyrillic_script,Medial Meniscus,positive,tear,v3_target,strict,27
spanish,Medial Meniscus,positive,abnormality,v3_target,strict,26
turkish,Lateral OA,positive,degeneration,v2_exact,strict,26
french,PF OA,positive,chondral_abnormality,v3_target,strict,26
greek_script,Effusion,negative,abnormality_absent,v2_exact,strict,26
dutch,Lateral OA,negative,chondral_abnormality_absent,v3_target,strict,26
german,PF OA,negative,chondral_abnormality_absent,v3_target,strict,25
english,Lateral OA,positive,abnormality,v2_exact,strict,25
cyrillic_script,Medial Meniscus,negative,normal_structure,v3_target,strict,25
german,Medial OA,positive,chondral_abnormality,v3_target,strict,25
south_slavic,ACL,uncertain,tear,v3_target,strict,25
dutch,Effusion,negative,abnormality_absent,v2_exact,strict,24
dutch,Medial Meniscus,negative,abnormality_absent,v2_exact,strict,24
spanish,Medial Meniscus,positive,abnormality,v2_exact,strict,24
english,MCL,negative,abnormality_absent,v3_target,strict,24
cyrillic_script,Fracture,positive,fracture,v3_morphology,strict,24
dutch,PF OA,positive,chondral_abnormality,v2_exact,strict,24
south_slavic,Medial Meniscus,uncertain,tear,v3_target,strict,24
spanish,ACL,negative,abnormality_absent,v2_exact,strict,24
turkish,Fracture,positive,fracture,v3_morphology,strict,24
dutch,Medial Meniscus,negative,normal_structure,v3_target,strict,23
south_slavic,MCL,positive,tear,v3_target,strict,23
dutch,Medial OA,negative,chondral_abnormality_absent,v3_target,strict,23
german,Contusion,positive,abnormality,v2_exact,strict,23
french,Fracture,negative,fracture_absent,v3_morphology,linked,23
english,ACL,uncertain,tear,v3_target,strict,22
turkish,Synovitis,positive,synovitis,v3_morphology,strict,22
cyrillic_script,Fracture,positive,fracture,v2_exact,strict,22
french,ACL,negative,normal_structure,v3_target,strict,22
turkish,Fracture,positive,fracture,v2_exact,strict,22
greek_script,Medial Meniscus,positive,degeneration,v2_exact,strict,22
greek_script,Contusion,positive,abnormality,v2_exact,strict,22
english,Contusion,uncertain,bone_contusion,v3_morphology,strict,22
turkish,Medial OA,positive,degeneration,v3_target,strict,22
dutch,Medial Meniscus,positive,abnormality,v3_target,strict,21
spanish,ACL,negative,abnormality_absent,v3_target,strict,21
dutch,ACL,positive,abnormality,v2_exact,strict,21
english,Medial OA,positive,abnormality,v2_exact,strict,21
turkish,MCL,positive,abnormality,v3_target,strict,21
spanish,Lateral Meniscus,positive,tear,v2_collective,strict,21
french,Medial Meniscus,positive,degeneration,v2_exact,strict,20
french,ACL,negative,abnormality_absent,v2_collective,strict,20
greek_script,Lateral Meniscus,positive,degeneration,v3_target,strict,20
dutch,PF OA,negative,abnormality_absent,v2_exact,strict,20
dutch,PF OA,negative,chondral_abnormality_absent,v3_target,strict,20
cyrillic_script,ACL,negative,abnormality_absent,v2_exact,strict,20
english,ACL,uncertain,tear,v2_exact,strict,20
dutch,ACL,positive,abnormality,v3_target,strict,20
dutch,Medial Meniscus,positive,abnormality,v2_exact,strict,20
spanish,Lateral Meniscus,positive,abnormality,v3_target,strict,20
spanish,Baker's,positive,tear,v2_exact,strict,20
greek_script,ACL,positive,degeneration,v3_target,strict,19
south_slavic,MCL,positive,tear,v2_exact,strict,19
spanish,Lateral Meniscus,positive,abnormality,v2_exact,strict,19
german,Medial Meniscus,positive,degeneration,v2_exact,strict,19
french,Baker's,positive,tear,v2_exact,strict,19
greek_script,Medial Meniscus,negative,normal_structure,v3_target,strict,18
greek_script,Synovitis,positive,abnormality,v2_exact,strict,18
spanish,Lateral OA,negative,normal_cartilage,v3_target,strict,18
south_slavic,Fracture,positive,fracture,v2_exact,strict,18
english,Medial Meniscus,positive,abnormality,v2_exact,strict,18
english,Medial Meniscus,positive,abnormality,v3_target,strict,18
spanish,Medial OA,positive,abnormality,v2_exact,strict,18
turkish,MCL,positive,abnormality,v2_exact,strict,17
german,Medial Meniscus,positive,abnormality,v3_target,strict,17
south_slavic,Medial OA,positive,chondral_abnormality,v2_exact,strict,17
english,ACL,positive,tear,v3_target,linked,17
spanish,Lateral OA,negative,abnormality_absent,v2_exact,strict,17
turkish,Synovitis,positive,abnormality,v2_exact,strict,17
german,Medial OA,positive,chondral_abnormality,v2_exact,strict,17
english,Medial Meniscus,positive,extrusion,v3_target,strict,17
greek_script,Medial Meniscus,negative,abnormality_absent,v2_exact,strict,17
south_slavic,Fracture,positive,fracture,v3_morphology,strict,16
german,Lateral OA,positive,chondral_abnormality,v3_target,strict,16
latin_other,Effusion,positive,abnormality,v2_exact,strict,16
spanish,ACL,positive,tear,v3_target,linked,16
french,Lateral Meniscus,positive,abnormality,v3_target,strict,16
cyrillic_script,Medial Meniscus,positive,degeneration,v2_exact,strict,16
german,Lateral Meniscus,positive,degeneration,v3_target,strict,16
turkish,Contusion,positive,abnormality,v2_exact,strict,16
greek_script,ACL,positive,degeneration,v2_exact,strict,16
dutch,Effusion,positive,chondral_abnormality,v2_exact,strict,16
french,Lateral Meniscus,positive,abnormality,v2_exact,strict,16
turkish,Lateral Meniscus,positive,abnormality,v3_target,strict,16
south_slavic,Lateral OA,positive,chondral_abnormality,v2_exact,strict,15
south_slavic,Medial Meniscus,negative,abnormality_absent,v2_collective,strict,15
english,MCL,uncertain,abnormality,v3_target,strict,15
spanish,Medial Meniscus,positive,tear,v3_target,linked,15
english,Medial Meniscus,positive,extrusion,v2_exact,strict,15
english,Synovitis,negative,abnormality_absent,v2_exact,strict,15
french,Medial Meniscus,negative,abnormality_absent,v2_exact,strict,15
french,Lateral Meniscus,negative,abnormality_absent,v3_target,strict,15
french,ACL,positive,abnormality,v3_target,strict,14
south_slavic,Lateral Meniscus,negative,abnormality_absent,v2_collective,strict,14
french,Medial OA,positive,chondral_abnormality,v3_target,strict,14
spanish,MCL,positive,sprain,v3_target,strict,14
french,ACL,positive,abnormality,v2_exact,strict,14
turkish,Medial OA,positive,chondral_abnormality,v2_exact,strict,13
cyrillic_script,Medial Meniscus,negative,abnormality_absent,v2_exact,strict,13
french,MCL,negative,abnormality_absent,v3_target,strict,13
english,Lateral Meniscus,positive,abnormality,v3_target,strict,13
greek_script,MCL,positive,sprain,v3_target,strict,13
south_slavic,ACL,negative,abnormality_absent,v3_target,strict,13
french,Synovitis,positive,abnormality,v2_exact,strict,13
cyrillic_script,ACL,positive,tear,v2_exact,strict,13
cyrillic_script,ACL,positive,tear,v3_target,strict,13
english,Medial Meniscus,positive,tear,v2_collective,strict,13
german,Synovitis,positive,synovitis,v3_morphology,strict,13
turkish,Lateral Meniscus,positive,abnormality,v2_exact,strict,13
cyrillic_script,PF OA,positive,chondral_abnormality,v3_target,strict,13
dutch,Lateral Meniscus,positive,abnormality,v3_target,strict,13
south_slavic,Medial Meniscus,uncertain,tear,v2_exact,strict,12
dutch,Lateral OA,positive,chondral_abnormality,v3_target,strict,12
spanish,Baker's,uncertain,abnormality,v2_exact,strict,12
south_slavic,PF OA,negative,normal_cartilage,v3_target,strict,12
english,PF OA,uncertain,chondral_abnormality,v3_target,strict,12
south_slavic,ACL,positive,degeneration,v2_exact,strict,12
cyrillic_script,ACL,negative,normal_structure,v3_target,strict,12
latin_other,MCL,negative,abnormality_absent,v2_collective,strict,12
french,Lateral Meniscus,positive,degeneration,v3_target,strict,11
turkish,PF OA,positive,degeneration,v3_target,strict,11
german,Lateral OA,positive,chondral_abnormality,v2_exact,strict,11
english,PF OA,positive,chondral_abnormality,v3_target,linked,11
german,Lateral OA,negative,abnormality_absent,v2_exact,strict,11
latin_other,Medial Meniscus,negative,abnormality_absent,v2_collective,strict,11
english,Synovitis,uncertain,abnormality,v2_exact,strict,11
greek_script,Lateral OA,negative,abnormality_absent,v2_exact,strict,11
cyrillic_script,Fracture,negative,fracture_absent,v3_morphology,strict,11
french,Fracture,positive,fracture,v3_morphology,strict,11
french,Fracture,positive,fracture,v2_exact,strict,11
french,Effusion,positive,tear,v2_exact,strict,11
dutch,Lateral Meniscus,positive,degeneration,v3_target,strict,11
english,Lateral Meniscus,positive,abnormality,v2_exact,strict,11
south_slavic,Contusion,positive,bone_contusion,v3_morphology,strict,11
spanish,MCL,positive,sprain,v3_target,linked,11
english,MCL,uncertain,tear,v3_target,strict,11
latin_other,Lateral Meniscus,negative,abnormality_absent,v2_collective,strict,11
german,Medial Meniscus,positive,extrusion,v3_target,strict,10
greek_script,Baker's,positive,tear,v2_exact,strict,10
english,Medial Meniscus,positive,tear,v3_target,linked,10
turkish,MCL,positive,tear,v2_exact,strict,10
cyrillic_script,Lateral Meniscus,negative,abnormality_absent,v2_collective,strict,10
dutch,Lateral Meniscus,positive,degeneration,v2_exact,strict,10
latin_other,ACL,negative,abnormality_absent,v2_collective,strict,10
dutch,Lateral Meniscus,positive,abnormality,v2_exact,strict,10
cyrillic_script,Medial Meniscus,negative,abnormality_absent,v2_collective,strict,10
spanish,Medial Meniscus,positive,degeneration,v3_target,strict,10
dutch,Fracture,negative,abnormality_absent,v2_exact,strict,10
south_slavic,ACL,uncertain,tear,v2_exact,strict,10
south_slavic,PF OA,positive,chondral_abnormality,v2_exact,strict,10
spanish,Contusion,positive,fracture,v2_exact,strict,10
french,Medial Meniscus,negative,normal_structure,v3_target,strict,10
greek_script,Lateral Meniscus,positive,degeneration,v2_exact,strict,10
french,PF OA,positive,chondral_abnormality,v2_exact,strict,10
dutch,MCL,negative,abnormality_absent,v2_exact,strict,10
greek_script,MCL,positive,sprain,v2_exact,strict,10
dutch,ACL,positive,degeneration,v3_target,strict,9
dutch,ACL,positive,degeneration,v2_exact,strict,9
turkish,MCL,positive,tear,v3_target,strict,9
french,Lateral OA,positive,chondral_abnormality,v2_exact,strict,9
dutch,MCL,negative,normal_structure,v3_target,strict,9
spanish,Lateral OA,positive,abnormality,v2_exact,strict,9
french,Medial OA,positive,chondral_abnormality,v2_exact,strict,9
english,ACL,positive,sprain,v2_exact,strict,9
english,Lateral Meniscus,positive,tear,v2_collective,strict,9
south_slavic,Effusion,positive,tear,v2_exact,strict,9
english,Contusion,positive,bone_contusion,v3_morphology,linked,9
english,Effusion,uncertain,joint_effusion,v3_morphology,strict,9
dutch,Medial Meniscus,positive,extrusion,v3_target,strict,9
english,MCL,uncertain,abnormality,v2_exact,strict,9
greek_script,Effusion,negative,joint_effusion_absent,v3_morphology,linked,9
english,Medial Meniscus,positive,degeneration,v2_collective,strict,9
english,Medial Meniscus,negative,normal_structure,v3_target,linked,9
english,PF OA,positive,abnormality,v2_exact,strict,9
german,Lateral OA,negative,chondral_abnormality_absent,v3_target,strict,9
english,PF OA,positive,degeneration,v2_exact,strict,9
turkish,Medial Meniscus,positive,degeneration,v2_collective,strict,9
cyrillic_script,ACL,positive,degeneration,v3_target,strict,9
cyrillic_script,ACL,positive,degeneration,v2_exact,strict,9
cyrillic_script,ACL,negative,abnormality_absent,v3_target,strict,9
turkish,ACL,positive,sprain,v3_target,strict,8
english,Synovitis,positive,chondral_abnormality,v2_exact,strict,8
spanish,Fracture,negative,fracture_absent,v3_morphology,strict,8
south_slavic,Medial Meniscus,negative,normal_structure,v3_target,strict,8
english,Medial OA,positive,chondral_abnormality,v2_collective,strict,8
