language_group,target,positive,negative,uncertain,unknown,pairs,resolved,resolved_rate,language_coverage_rank,target_coverage_rank
spanish,Medial Meniscus,230,220,6,222,678,450,0.6637168141592921,5,11
spanish,Effusion,282,171,0,225,678,453,0.668141592920354,5,12
dutch,Synovitis,6,0,0,147,153,6,0.0392156862745098,6,1
dutch,Contusion,5,0,0,148,153,5,0.032679738562091505,6,2
dutch,Fracture,4,8,1,140,153,12,0.0784313725490196,6,3
dutch,Lateral OA,12,28,0,113,153,40,0.26143790849673204,6,4
dutch,Medial OA,35,26,0,92,153,61,0.39869281045751637,6,5
dutch,Baker's,54,1,0,98,153,55,0.35947712418300654,6,6
dutch,PF OA,64,23,2,64,153,87,0.5686274509803921,6,7
dutch,ACL,25,98,1,29,153,123,0.803921568627451,6,8
dutch,MCL,4,64,0,85,153,68,0.4444444444444444,6,9
dutch,Lateral Meniscus,18,84,2,49,153,102,0.6666666666666666,6,10
dutch,Medial Meniscus,60,62,1,30,153,122,0.7973856209150327,6,11
dutch,Effusion,91,20,1,41,153,111,0.7254901960784313,6,12
south_slavic,Synovitis,4,0,0,399,403,4,0.009925558312655087,7,1
south_slavic,Contusion,11,0,1,391,403,11,0.02729528535980149,7,2
south_slavic,Fracture,16,3,2,382,403,19,0.04714640198511166,7,3
south_slavic,Lateral OA,32,1,0,370,403,33,0.08188585607940446,7,4
south_slavic,Medial OA,57,1,0,345,403,58,0.14392059553349876,7,5
south_slavic,Baker's,136,215,1,51,403,351,0.8709677419354839,7,6
south_slavic,PF OA,92,11,0,300,403,103,0.2555831265508685,7,7
south_slavic,ACL,161,163,31,48,403,324,0.8039702233250621,7,8
south_slavic,MCL,37,297,1,68,403,334,0.8287841191066998,7,9
south_slavic,Lateral Meniscus,151,212,5,35,403,363,0.9007444168734491,7,10
south_slavic,Medial Meniscus,221,84,26,72,403,305,0.7568238213399504,7,11
south_slavic,Effusion,265,86,2,50,403,351,0.8709677419354839,7,12
latin_other,Synovitis,2,2,0,18,22,4,0.18181818181818182,8,1
latin_other,Contusion,0,0,0,22,22,0,0.0,8,2
latin_other,Fracture,1,3,0,18,22,4,0.18181818181818182,8,3
latin_other,Lateral OA,2,4,0,16,22,6,0.2727272727272727,8,4
latin_other,Medial OA,2,4,0,16,22,6,0.2727272727272727,8,5
latin_other,Baker's,2,8,0,12,22,10,0.45454545454545453,8,6
latin_other,PF OA,5,2,0,15,22,7,0.3181818181818182,8,7
latin_other,ACL,4,15,0,3,22,19,0.8636363636363636,8,8
latin_other,MCL,4,14,0,4,22,18,0.8181818181818182,8,9
latin_other,Lateral Meniscus,2,17,0,3,22,19,0.8636363636363636,8,10
latin_other,Medial Meniscus,4,12,0,6,22,16,0.7272727272727273,8,11
latin_other,Effusion,15,2,0,5,22,17,0.7727272727272727,8,12
french,Synovitis,9,0,0,71,80,9,0.1125,9,1
french,Contusion,6,1,0,73,80,7,0.0875,9,2
french,Fracture,7,28,0,45,80,35,0.4375,9,3
french,Lateral OA,9,4,0,67,80,13,0.1625,9,4
french,Medial OA,13,3,0,64,80,16,0.2,9,5
french,Baker's,33,46,0,1,80,79,0.9875,9,6
french,PF OA,21,2,0,57,80,23,0.2875,9,7
french,ACL,12,45,1,22,80,57,0.7125,9,8
french,MCL,5,56,0,19,80,61,0.7625,9,9
french,Lateral Meniscus,19,50,0,11,80,69,0.8625,9,10
french,Medial Meniscus,47,19,1,13,80,66,0.825,9,11
french,Effusion,79,0,0,1,80,79,0.9875,9,12
english,Synovitis,294,14,8,1408,1724,308,0.17865429234338748,10,1
english,Contusion,168,406,11,1139,1724,574,0.3329466357308585,10,2
english,Fracture,95,478,31,1120,1724,573,0.3323665893271462,10,3
english,Lateral OA,234,433,0,1057,1724,667,0.38689095127610207,10,4
english,Medial OA,323,366,1,1034,1724,689,0.3996519721577726,10,5
english,Baker's,393,317,3,1011,1724,710,0.41183294663573083,10,6
english,PF OA,509,508,8,699,1724,1017,0.589907192575406,10,7
english,ACL,429,1024,14,257,1724,1453,0.8428074245939675,10,8
english,MCL,234,1137,15,338,1724,1371,0.7952436194895591,10,9
english,Lateral Meniscus,339,988,49,348,1724,1327,0.7697215777262181,10,10
english,Medial Meniscus,755,610,34,325,1724,1365,0.7917633410672854,10,11
english,Effusion,1024,413,3,284,1724,1437,0.8335266821345708,10,12
