record_type,view_kind,support_scope,target,status,detector,rule,phenotype,views,mentions,propositions,selected_pair_participations
detail,linked_only,linked_only,Effusion,positive,v3_morphology,effusion_el_root,joint_effusion,,,1,
detail,linked_only,linked_only,Effusion,positive,v3_morphology,effusion_en_plural,joint_effusion,,,61,
detail,linked_only,linked_only,Effusion,uncertain,v3_morphology,effusion_en_plural,joint_effusion,,,2,
detail,linked_only,linked_only,Fracture,negative,v3_morphology,fracture_en,fracture_absent,,,31,
detail,linked_only,linked_only,Fracture,negative,v3_morphology,fracture_fr,fracture_absent,,,23,
detail,linked_only,linked_only,Fracture,positive,v3_morphology,fracture_el,fracture,,,1,
detail,linked_only,linked_only,Fracture,positive,v3_morphology,fracture_en,fracture,,,44,
detail,linked_only,linked_only,Fracture,positive,v3_morphology,fracture_fr,fracture,,,4,
detail,linked_only,linked_only,Fracture,uncertain,v3_morphology,fracture_en,fracture,,,2,
detail,linked_only,linked_only,Lateral Meniscus,negative,v3_target,target_local_association,abnormality_absent,,,7,
detail,linked_only,linked_only,Lateral Meniscus,negative,v3_target,target_local_normality,normal_structure,,,7,
detail,linked_only,linked_only,Lateral Meniscus,positive,v3_target,target_local_association,abnormality,,,11,
detail,linked_only,linked_only,Lateral Meniscus,positive,v3_target,target_local_association,degeneration,,,2,
detail,linked_only,linked_only,Lateral Meniscus,positive,v3_target,target_local_association,extrusion,,,1,
detail,linked_only,linked_only,Lateral Meniscus,positive,v3_target,target_local_association,tear,,,54,
detail,linked_only,linked_only,Lateral Meniscus,uncertain,v3_target,target_local_association,tear,,,3,
detail,linked_only,linked_only,Lateral OA,positive,v3_target,compartment_scope,chondral_abnormality,,,12,
detail,linked_only,linked_only,MCL,negative,v3_target,target_local_normality,normal_structure,,,3,
detail,linked_only,linked_only,MCL,positive,v3_target,target_local_association,abnormality,,,3,
detail,linked_only,linked_only,MCL,positive,v3_target,target_local_association,sprain,,,18,
detail,linked_only,linked_only,MCL,positive,v3_target,target_local_association,tear,,,7,
detail,linked_only,linked_only,MCL,uncertain,v3_target,target_local_association,sprain,,,2,
detail,linked_only,linked_only,Medial Meniscus,negative,v3_target,target_local_normality,normal_structure,,,14,
detail,linked_only,linked_only,Medial Meniscus,positive,v3_target,target_local_association,abnormality,,,15,
detail,linked_only,linked_only,Medial Meniscus,positive,v3_target,target_local_association,degeneration,,,9,
detail,linked_only,linked_only,Medial Meniscus,positive,v3_target,target_local_association,extrusion,,,4,
detail,linked_only,linked_only,Medial Meniscus,positive,v3_target,target_local_association,tear,,,115,
detail,linked_only,linked_only,Medial Meniscus,uncertain,v3_target,target_local_association,sprain,,,1,
detail,linked_only,linked_only,Medial Meniscus,uncertain,v3_target,target_local_association,tear,,,4,
detail,linked_only,linked_only,Medial OA,negative,v3_target,compartment_normality,normal_cartilage,,,5,
detail,linked_only,linked_only,Medial OA,negative,v3_target,compartment_scope,chondral_abnormality_absent,,,1,
detail,linked_only,linked_only,Medial OA,positive,v3_target,compartment_scope,chondral_abnormality,,,12,
detail,linked_only,linked_only,PF OA,negative,v3_target,compartment_scope,chondral_abnormality_absent,,,1,
detail,linked_only,linked_only,PF OA,positive,v3_target,compartment_scope,chondral_abnormality,,,33,
detail,linked_only,linked_only,PF OA,uncertain,v3_target,compartment_scope,chondral_abnormality,,,2,
detail,linked_only,linked_only,Synovitis,positive,v3_morphology,synovitis_de,synovitis,,,1,
detail,linked_only,linked_only,Synovitis,positive,v3_morphology,synovitis_el,synovitis,,,1,
detail,strict_only,strict_only,ACL,negative,v2_collective,cruciate_and_collateral_ligaments,abnormality_absent,,,353,
detail,strict_only,strict_only,ACL,negative,v2_collective,cruciate_ligaments,abnormality_absent,,,891,
detail,strict_only,strict_only,ACL,negative,v2_exact,<no_explicit_rule>,abnormality_absent,,,1006,
detail,strict_only,strict_only,ACL,negative,v2_exact,target_local_association,abnormality_absent,,,189,
detail,strict_only,strict_only,ACL,negative,v3_target,target_local_association,abnormality_absent,,,199,
detail,strict_only,strict_only,ACL,negative,v3_target,target_local_normality,normal_structure,,,1042,
detail,strict_only,strict_only,ACL,positive,v2_exact,<no_explicit_rule>,abnormality,,,22,
detail,strict_only,strict_only,ACL,positive,v2_exact,<no_explicit_rule>,avulsion,,,1,
detail,strict_only,strict_only,ACL,positive,v2_exact,<no_explicit_rule>,degeneration,,,11,
detail,strict_only,strict_only,ACL,positive,v2_exact,<no_explicit_rule>,fracture,,,6,
detail,strict_only,strict_only,ACL,positive,v2_exact,<no_explicit_rule>,sprain,,,9,
detail,strict_only,strict_only,ACL,positive,v2_exact,<no_explicit_rule>,tear,,,17,
detail,strict_only,strict_only,ACL,positive,v2_exact,target_local_association,abnormality,,,171,
detail,strict_only,strict_only,ACL,positive,v2_exact,target_local_association,avulsion,,,7,
detail,strict_only,strict_only,ACL,positive,v2_exact,target_local_association,degeneration,,,210,
detail,strict_only,strict_only,ACL,positive,v2_exact,target_local_association,sprain,,,16,
detail,strict_only,strict_only,ACL,positive,v2_exact,target_local_association,tear,,,681,
detail,strict_only,strict_only,ACL,positive,v3_target,target_local_association,abnormality,,,186,
detail,strict_only,strict_only,ACL,positive,v3_target,target_local_association,avulsion,,,11,
detail,strict_only,strict_only,ACL,positive,v3_target,target_local_association,degeneration,,,372,
detail,strict_only,strict_only,ACL,positive,v3_target,target_local_association,sprain,,,19,
detail,strict_only,strict_only,ACL,positive,v3_target,target_local_association,tear,,,763,
detail,strict_only,strict_only,ACL,uncertain,v2_exact,<no_explicit_rule>,fracture,,,2,
detail,strict_only,strict_only,ACL,uncertain,v2_exact,target_local_association,abnormality,,,6,
detail,strict_only,strict_only,ACL,uncertain,v2_exact,target_local_association,degeneration,,,5,
detail,strict_only,strict_only,ACL,uncertain,v2_exact,target_local_association,sprain,,,3,
detail,strict_only,strict_only,ACL,uncertain,v2_exact,target_local_association,tear,,,31,
detail,strict_only,strict_only,ACL,uncertain,v3_target,target_local_association,abnormality,,,32,
detail,strict_only,strict_only,ACL,uncertain,v3_target,target_local_association,degeneration,,,22,
detail,strict_only,strict_only,ACL,uncertain,v3_target,target_local_association,sprain,,,5,
detail,strict_only,strict_only,ACL,uncertain,v3_target,target_local_association,tear,,,54,
detail,strict_only,strict_only,Baker's,negative,v2_exact,<no_explicit_rule>,abnormality_absent,,,808,
detail,strict_only,strict_only,Baker's,negative,v3_morphology,baker_nl,baker_cyst_absent,,,1,
detail,strict_only,strict_only,Baker's,negative,v3_morphology,baker_sl,baker_cyst_absent,,,74,
detail,strict_only,strict_only,Baker's,negative,v3_morphology,baker_variants,baker_cyst_absent,,,267,
detail,strict_only,strict_only,Baker's,positive,v2_exact,<no_explicit_rule>,abnormality,,,1055,
detail,strict_only,strict_only,Baker's,positive,v2_exact,<no_explicit_rule>,chondral_abnormality,,,9,
detail,strict_only,strict_only,Baker's,positive,v2_exact,<no_explicit_rule>,degeneration,,,5,
detail,strict_only,strict_only,Baker's,positive,v2_exact,<no_explicit_rule>,sprain,,,1,
detail,strict_only,strict_only,Baker's,positive,v2_exact,<no_explicit_rule>,tear,,,142,
detail,strict_only,strict_only,Baker's,positive,v3_morphology,baker_el,baker_cyst,,,115,
detail,strict_only,strict_only,Baker's,positive,v3_morphology,baker_nl,baker_cyst,,,11,
detail,strict_only,strict_only,Baker's,positive,v3_morphology,baker_sl,baker_cyst,,,96,
detail,strict_only,strict_only,Baker's,positive,v3_morphology,baker_variants,baker_cyst,,,792,
detail,strict_only,strict_only,Baker's,uncertain,v2_exact,<no_explicit_rule>,abnormality,,,17,
detail,strict_only,strict_only,Baker's,uncertain,v2_exact,<no_explicit_rule>,tear,,,6,
detail,strict_only,strict_only,Baker's,uncertain,v3_morphology,baker_el,baker_cyst,,,1,
detail,strict_only,strict_only,Baker's,uncertain,v3_morphology,baker_sl,baker_cyst,,,1,
detail,strict_only,strict_only,Baker's,uncertain,v3_morphology,baker_variants,baker_cyst,,,14,
detail,strict_only,strict_only,Contusion,negative,v2_exact,<no_explicit_rule>,abnormality_absent,,,455,
detail,strict_only,strict_only,Contusion,negative,v3_morphology,contusion_el,bone_contusion_absent,,,1,
detail,strict_only,strict_only,Contusion,negative,v3_morphology,contusion_en,bone_contusion_absent,,,455,
detail,strict_only,strict_only,Contusion,positive,v2_exact,<no_explicit_rule>,abnormality,,,328,
detail,strict_only,strict_only,Contusion,positive,v2_exact,<no_explicit_rule>,chondral_abnormality,,,22,
detail,strict_only,strict_only,Contusion,positive,v2_exact,<no_explicit_rule>,degeneration,,,1,
detail,strict_only,strict_only,Contusion,positive,v2_exact,<no_explicit_rule>,fracture,,,43,
detail,strict_only,strict_only,Contusion,positive,v2_exact,<no_explicit_rule>,sprain,,,5,
detail,strict_only,strict_only,Contusion,positive,v2_exact,<no_explicit_rule>,tear,,,18,
detail,strict_only,strict_only,Contusion,positive,v3_morphology,contusion_cyr,bone_contusion,,,30,
detail,strict_only,strict_only,Contusion,positive,v3_morphology,contusion_el,bone_contusion,,,47,
detail,strict_only,strict_only,Contusion,positive,v3_morphology,contusion_en,bone_contusion,,,335,
detail,strict_only,strict_only,Contusion,positive,v3_morphology,contusion_sl,bone_contusion,,,11,
detail,strict_only,strict_only,Contusion,positive,v3_morphology,contusion_tr,bone_contusion,,,33,
detail,strict_only,strict_only,Contusion,uncertain,v2_exact,<no_explicit_rule>,abnormality,,,10,
detail,strict_only,strict_only,Contusion,uncertain,v2_exact,<no_explicit_rule>,fracture,,,12,
detail,strict_only,strict_only,Contusion,uncertain,v2_exact,<no_explicit_rule>,tear,,,1,
detail,strict_only,strict_only,Contusion,uncertain,v3_morphology,contusion_en,bone_contusion,,,40,
detail,strict_only,strict_only,Contusion,uncertain,v3_morphology,contusion_sl,bone_contusion,,,1,
detail,strict_only,strict_only,Contusion,uncertain,v3_morphology,contusion_tr,bone_contusion,,,3,
detail,strict_only,strict_only,Effusion,negative,v2_exact,<no_explicit_rule>,abnormality_absent,,,1015,
detail,strict_only,strict_only,Effusion,negative,v3_morphology,effusion_de_root,joint_effusion_absent,,,42,
detail,strict_only,strict_only,Effusion,negative,v3_morphology,effusion_el_root,joint_effusion_absent,,,34,
detail,strict_only,strict_only,Effusion,negative,v3_morphology,effusion_en_plural,joint_effusion_absent,,,429,
detail,strict_only,strict_only,Effusion,negative,v3_morphology,effusion_tr_root,joint_effusion_absent,,,132,
detail,strict_only,strict_only,Effusion,positive,v2_exact,<no_explicit_rule>,abnormality,,,2982,
detail,strict_only,strict_only,Effusion,positive,v2_exact,<no_explicit_rule>,chondral_abnormality,,,45,
detail,strict_only,strict_only,Effusion,positive,v2_exact,<no_explicit_rule>,degeneration,,,13,
detail,strict_only,strict_only,Effusion,positive,v2_exact,<no_explicit_rule>,extrusion,,,2,
detail,strict_only,strict_only,Effusion,positive,v2_exact,<no_explicit_rule>,fracture,,,1,
detail,strict_only,strict_only,Effusion,positive,v2_exact,<no_explicit_rule>,tear,,,59,
detail,strict_only,strict_only,Effusion,positive,v3_morphology,effusion_de_root,joint_effusion,,,107,
detail,strict_only,strict_only,Effusion,positive,v3_morphology,effusion_el_root,joint_effusion,,,156,
detail,strict_only,strict_only,Effusion,positive,v3_morphology,effusion_en_plural,joint_effusion,,,1311,
detail,strict_only,strict_only,Effusion,positive,v3_morphology,effusion_tr_root,joint_effusion,,,338,
detail,strict_only,strict_only,Effusion,positive,v3_morphology,effusion_tr_root,tear,,,1,
detail,strict_only,strict_only,Effusion,uncertain,v2_exact,<no_explicit_rule>,abnormality,,,14,
detail,strict_only,strict_only,Effusion,uncertain,v2_exact,<no_explicit_rule>,chondral_abnormality,,,2,
detail,strict_only,strict_only,Effusion,uncertain,v2_exact,<no_explicit_rule>,fracture,,,1,
detail,strict_only,strict_only,Effusion,uncertain,v2_exact,<no_explicit_rule>,tear,,,2,
detail,strict_only,strict_only,Effusion,uncertain,v3_morphology,effusion_el_root,joint_effusion,,,1,
detail,strict_only,strict_only,Effusion,uncertain,v3_morphology,effusion_en_plural,joint_effusion,,,21,
detail,strict_only,strict_only,Fracture,negative,v2_exact,<no_explicit_rule>,abnormality_absent,,,615,
detail,strict_only,strict_only,Fracture,negative,v3_morphology,fracture_cyr,fracture_absent,,,11,
detail,strict_only,strict_only,Fracture,negative,v3_morphology,fracture_de,fracture_absent,,,49,
detail,strict_only,strict_only,Fracture,negative,v3_morphology,fracture_el,fracture_absent,,,3,
detail,strict_only,strict_only,Fracture,negative,v3_morphology,fracture_en,fracture_absent,,,550,
detail,strict_only,strict_only,Fracture,negative,v3_morphology,fracture_fr,fracture_absent,,,30,
detail,strict_only,strict_only,Fracture,negative,v3_morphology,fracture_sl,fracture_absent,,,3,
detail,strict_only,strict_only,Fracture,positive,v2_exact,<no_explicit_rule>,abnormality,,,1,
detail,strict_only,strict_only,Fracture,positive,v2_exact,<no_explicit_rule>,avulsion,,,32,
detail,strict_only,strict_only,Fracture,positive,v2_exact,<no_explicit_rule>,chondral_abnormality,,,3,
detail,strict_only,strict_only,Fracture,positive,v2_exact,<no_explicit_rule>,fracture,,,18,
detail,strict_only,strict_only,Fracture,positive,v2_exact,fracture_cyr,fracture,,,21,
detail,strict_only,strict_only,Fracture,positive,v2_exact,fracture_de,fracture,,,1,
detail,strict_only,strict_only,Fracture,positive,v2_exact,fracture_el,fracture,,,53,
detail,strict_only,strict_only,Fracture,positive,v2_exact,fracture_en,fracture,,,261,
detail,strict_only,strict_only,Fracture,positive,v2_exact,fracture_fr,fracture,,,14,
detail,strict_only,strict_only,Fracture,positive,v2_exact,fracture_sl,fracture,,,15,
detail,strict_only,strict_only,Fracture,positive,v2_exact,fracture_tr,fracture,,,22,
detail,strict_only,strict_only,Fracture,positive,v3_morphology,fracture_cyr,fracture,,,34,
detail,strict_only,strict_only,Fracture,positive,v3_morphology,fracture_de,fracture,,,2,
detail,strict_only,strict_only,Fracture,positive,v3_morphology,fracture_el,fracture,,,56,
detail,strict_only,strict_only,Fracture,positive,v3_morphology,fracture_en,fracture,,,290,
detail,strict_only,strict_only,Fracture,positive,v3_morphology,fracture_fr,fracture,,,17,
detail,strict_only,strict_only,Fracture,positive,v3_morphology,fracture_sl,fracture,,,17,
detail,strict_only,strict_only,Fracture,positive,v3_morphology,fracture_tr,fracture,,,24,
detail,strict_only,strict_only,Fracture,uncertain,v2_exact,<no_explicit_rule>,avulsion,,,3,
detail,strict_only,strict_only,Fracture,uncertain,v2_exact,<no_explicit_rule>,chondral_abnormality,,,1,
detail,strict_only,strict_only,Fracture,uncertain,v2_exact,fracture_en,fracture,,,49,
detail,strict_only,strict_only,Fracture,uncertain,v2_exact,fracture_fr,fracture,,,1,
detail,strict_only,strict_only,Fracture,uncertain,v2_exact,fracture_sl,fracture,,,3,
detail,strict_only,strict_only,Fracture,uncertain,v2_exact,fracture_tr,fracture,,,3,
detail,strict_only,strict_only,Fracture,uncertain,v3_morphology,fracture_en,fracture,,,69,
detail,strict_only,strict_only,Fracture,uncertain,v3_morphology,fracture_fr,fracture,,,1,
detail,strict_only,strict_only,Fracture,uncertain,v3_morphology,fracture_sl,fracture,,,7,
detail,strict_only,strict_only,Fracture,uncertain,v3_morphology,fracture_tr,fracture,,,4,
detail,strict_only,strict_only,Lateral Meniscus,negative,v2_collective,both_menisci,abnormality_absent,,,269,
detail,strict_only,strict_only,Lateral Meniscus,negative,v2_collective,both_menisci_negative_only,abnormality_absent,,,476,
detail,strict_only,strict_only,Lateral Meniscus,negative,v2_collective,target_local_association,abnormality_absent,,,4,
detail,strict_only,strict_only,Lateral Meniscus,negative,v2_exact,<no_explicit_rule>,abnormality_absent,,,1316,
detail,strict_only,strict_only,Lateral Meniscus,negative,v2_exact,target_local_association,abnormality_absent,,,470,
detail,strict_only,strict_only,Lateral Meniscus,negative,v3_target,both_menisci,abnormality_absent,,,3,
detail,strict_only,strict_only,Lateral Meniscus,negative,v3_target,both_menisci_negative_only,abnormality_absent,,,4,
detail,strict_only,strict_only,Lateral Meniscus,negative,v3_target,target_local_association,abnormality_absent,,,475,
detail,strict_only,strict_only,Lateral Meniscus,negative,v3_target,target_local_normality,normal_structure,,,1419,
detail,strict_only,strict_only,Lateral Meniscus,positive,v2_collective,both_menisci,degeneration,,,7,
detail,strict_only,strict_only,Lateral Meniscus,positive,v2_collective,both_menisci,tear,,,38,
detail,strict_only,strict_only,Lateral Meniscus,positive,v2_collective,target_local_association,tear,,,8,
detail,strict_only,strict_only,Lateral Meniscus,positive,v2_exact,<no_explicit_rule>,chondral_abnormality,,,4,
detail,strict_only,strict_only,Lateral Meniscus,positive,v2_exact,<no_explicit_rule>,degeneration,,,10,
detail,strict_only,strict_only,Lateral Meniscus,positive,v2_exact,<no_explicit_rule>,sprain,,,3,
detail,strict_only,strict_only,Lateral Meniscus,positive,v2_exact,<no_explicit_rule>,tear,,,64,
detail,strict_only,strict_only,Lateral Meniscus,positive,v2_exact,target_local_association,abnormality,,,108,
detail,strict_only,strict_only,Lateral Meniscus,positive,v2_exact,target_local_association,avulsion,,,1,
detail,strict_only,strict_only,Lateral Meniscus,positive,v2_exact,target_local_association,degeneration,,,222,
detail,strict_only,strict_only,Lateral Meniscus,positive,v2_exact,target_local_association,extrusion,,,8,
detail,strict_only,strict_only,Lateral Meniscus,positive,v2_exact,target_local_association,tear,,,729,
detail,strict_only,strict_only,Lateral Meniscus,positive,v3_target,both_menisci,tear,,,8,
detail,strict_only,strict_only,Lateral Meniscus,positive,v3_target,target_local_association,abnormality,,,128,
detail,strict_only,strict_only,Lateral Meniscus,positive,v3_target,target_local_association,avulsion,,,1,
detail,strict_only,strict_only,Lateral Meniscus,positive,v3_target,target_local_association,degeneration,,,376,
detail,strict_only,strict_only,Lateral Meniscus,positive,v3_target,target_local_association,extrusion,,,16,
detail,strict_only,strict_only,Lateral Meniscus,positive,v3_target,target_local_association,tear,,,797,
detail,strict_only,strict_only,Lateral Meniscus,uncertain,v2_exact,target_local_association,abnormality,,,5,
detail,strict_only,strict_only,Lateral Meniscus,uncertain,v2_exact,target_local_association,degeneration,,,1,
detail,strict_only,strict_only,Lateral Meniscus,uncertain,v2_exact,target_local_association,tear,,,81,
detail,strict_only,strict_only,Lateral Meniscus,uncertain,v3_target,target_local_association,abnormality,,,6,
detail,strict_only,strict_only,Lateral Meniscus,uncertain,v3_target,target_local_association,degeneration,,,11,
detail,strict_only,strict_only,Lateral Meniscus,uncertain,v3_target,target_local_association,tear,,,116,
detail,strict_only,strict_only,Lateral OA,negative,v2_collective,tibiofemoral_compartments,abnormality_absent,,,168,
detail,strict_only,strict_only,Lateral OA,negative,v2_exact,<no_explicit_rule>,abnormality_absent,,,480,
detail,strict_only,strict_only,Lateral OA,negative,v3_target,compartment_normality,normal_cartilage,,,189,
detail,strict_only,strict_only,Lateral OA,negative,v3_target,compartment_scope,chondral_abnormality_absent,,,325,
detail,strict_only,strict_only,Lateral OA,positive,v2_collective,compartment_scope,chondral_abnormality,,,3,
detail,strict_only,strict_only,Lateral OA,positive,v2_collective,lateral_and_patellofemoral_compartments,chondral_abnormality,,,3,
detail,strict_only,strict_only,Lateral OA,positive,v2_collective,lateral_and_patellofemoral_compartments,tear,,,2,
detail,strict_only,strict_only,Lateral OA,positive,v2_collective,tibiofemoral_compartments,abnormality,,,2,
detail,strict_only,strict_only,Lateral OA,positive,v2_collective,tibiofemoral_compartments,chondral_abnormality,,,46,
detail,strict_only,strict_only,Lateral OA,positive,v2_exact,<no_explicit_rule>,abnormality,,,48,
detail,strict_only,strict_only,Lateral OA,positive,v2_exact,<no_explicit_rule>,chondral_abnormality,,,36,
detail,strict_only,strict_only,Lateral OA,positive,v2_exact,<no_explicit_rule>,degeneration,,,46,
detail,strict_only,strict_only,Lateral OA,positive,v2_exact,<no_explicit_rule>,fracture,,,1,
detail,strict_only,strict_only,Lateral OA,positive,v2_exact,<no_explicit_rule>,tear,,,9,
detail,strict_only,strict_only,Lateral OA,positive,v2_exact,compartment_scope,chondral_abnormality,,,267,
detail,strict_only,strict_only,Lateral OA,positive,v2_exact,compartment_scope,degeneration,,,1,
detail,strict_only,strict_only,Lateral OA,positive,v2_exact,lateral_and_patellofemoral_compartments,chondral_abnormality,,,1,
detail,strict_only,strict_only,Lateral OA,positive,v2_exact,tibiofemoral_compartments,abnormality,,,1,
detail,strict_only,strict_only,Lateral OA,positive,v3_target,compartment_scope,chondral_abnormality,,,423,
detail,strict_only,strict_only,Lateral OA,positive,v3_target,compartment_scope,degeneration,,,2,
detail,strict_only,strict_only,Lateral OA,positive,v3_target,compartment_scope,tear,,,1,
detail,strict_only,strict_only,Lateral OA,positive,v3_target,lateral_and_patellofemoral_compartments,chondral_abnormality,,,3,
detail,strict_only,strict_only,Lateral OA,uncertain,v2_exact,compartment_scope,chondral_abnormality,,,1,
detail,strict_only,strict_only,Lateral OA,uncertain,v3_target,compartment_scope,chondral_abnormality,,,1,
detail,strict_only,strict_only,MCL,negative,v2_collective,collateral_ligaments,abnormality_absent,,,925,
detail,strict_only,strict_only,MCL,negative,v2_collective,cruciate_and_collateral_ligaments,abnormality_absent,,,353,
detail,strict_only,strict_only,MCL,negative,v2_exact,<no_explicit_rule>,abnormality_absent,,,1125,
detail,strict_only,strict_only,MCL,negative,v2_exact,target_local_association,abnormality_absent,,,69,
detail,strict_only,strict_only,MCL,negative,v3_target,target_local_association,abnormality_absent,,,71,
detail,strict_only,strict_only,MCL,negative,v3_target,target_local_normality,normal_structure,,,1478,
detail,strict_only,strict_only,MCL,positive,v2_exact,<no_explicit_rule>,abnormality,,,19,
detail,strict_only,strict_only,MCL,positive,v2_exact,<no_explicit_rule>,avulsion,,,1,
detail,strict_only,strict_only,MCL,positive,v2_exact,<no_explicit_rule>,chondral_abnormality,,,1,
detail,strict_only,strict_only,MCL,positive,v2_exact,<no_explicit_rule>,extrusion,,,1,
detail,strict_only,strict_only,MCL,positive,v2_exact,<no_explicit_rule>,fracture,,,1,
detail,strict_only,strict_only,MCL,positive,v2_exact,<no_explicit_rule>,sprain,,,2,
detail,strict_only,strict_only,MCL,positive,v2_exact,<no_explicit_rule>,tear,,,14,
detail,strict_only,strict_only,MCL,positive,v2_exact,target_local_association,abnormality,,,87,
detail,strict_only,strict_only,MCL,positive,v2_exact,target_local_association,avulsion,,,8,
detail,strict_only,strict_only,MCL,positive,v2_exact,target_local_association,degeneration,,,11,
detail,strict_only,strict_only,MCL,positive,v2_exact,target_local_association,sprain,,,227,
detail,strict_only,strict_only,MCL,positive,v2_exact,target_local_association,tear,,,168,
detail,strict_only,strict_only,MCL,positive,v3_target,target_local_association,abnormality,,,101,
detail,strict_only,strict_only,MCL,positive,v3_target,target_local_association,avulsion,,,9,
detail,strict_only,strict_only,MCL,positive,v3_target,target_local_association,degeneration,,,14,
detail,strict_only,strict_only,MCL,positive,v3_target,target_local_association,sprain,,,286,
detail,strict_only,strict_only,MCL,positive,v3_target,target_local_association,tear,,,189,
detail,strict_only,strict_only,MCL,uncertain,v2_exact,<no_explicit_rule>,avulsion,,,1,
detail,strict_only,strict_only,MCL,uncertain,v2_exact,<no_explicit_rule>,tear,,,2,
detail,strict_only,strict_only,MCL,uncertain,v2_exact,target_local_association,abnormality,,,9,
detail,strict_only,strict_only,MCL,uncertain,v2_exact,target_local_association,avulsion,,,3,
detail,strict_only,strict_only,MCL,uncertain,v2_exact,target_local_association,degeneration,,,1,
detail,strict_only,strict_only,MCL,uncertain,v2_exact,target_local_association,sprain,,,1,
detail,strict_only,strict_only,MCL,uncertain,v2_exact,target_local_association,tear,,,8,
detail,strict_only,strict_only,MCL,uncertain,v3_target,target_local_association,abnormality,,,34,
detail,strict_only,strict_only,MCL,uncertain,v3_target,target_local_association,avulsion,,,3,
detail,strict_only,strict_only,MCL,uncertain,v3_target,target_local_association,degeneration,,,2,
detail,strict_only,strict_only,MCL,uncertain,v3_target,target_local_association,sprain,,,5,
detail,strict_only,strict_only,MCL,uncertain,v3_target,target_local_association,tear,,,18,
detail,strict_only,strict_only,Medial Meniscus,negative,v2_collective,both_menisci,abnormality_absent,,,336,
detail,strict_only,strict_only,Medial Meniscus,negative,v2_collective,both_menisci_negative_only,abnormality_absent,,,472,
detail,strict_only,strict_only,Medial Meniscus,negative,v2_exact,<no_explicit_rule>,abnormality_absent,,,564,
detail,strict_only,strict_only,Medial Meniscus,negative,v2_exact,target_local_association,abnormality_absent,,,260,
detail,strict_only,strict_only,Medial Meniscus,negative,v3_target,target_local_association,abnormality_absent,,,261,
detail,strict_only,strict_only,Medial Meniscus,negative,v3_target,target_local_normality,normal_structure,,,528,
detail,strict_only,strict_only,Medial Meniscus,positive,v2_collective,both_menisci,avulsion,,,2,
detail,strict_only,strict_only,Medial Meniscus,positive,v2_collective,both_menisci,degeneration,,,22,
detail,strict_only,strict_only,Medial Meniscus,positive,v2_collective,both_menisci,sprain,,,1,
detail,strict_only,strict_only,Medial Meniscus,positive,v2_collective,both_menisci,tear,,,25,
detail,strict_only,strict_only,Medial Meniscus,positive,v2_exact,<no_explicit_rule>,abnormality,,,5,
detail,strict_only,strict_only,Medial Meniscus,positive,v2_exact,<no_explicit_rule>,chondral_abnormality,,,9,
detail,strict_only,strict_only,Medial Meniscus,positive,v2_exact,<no_explicit_rule>,degeneration,,,34,
detail,strict_only,strict_only,Medial Meniscus,positive,v2_exact,<no_explicit_rule>,extrusion,,,2,
detail,strict_only,strict_only,Medial Meniscus,positive,v2_exact,<no_explicit_rule>,fracture,,,9,
detail,strict_only,strict_only,Medial Meniscus,positive,v2_exact,<no_explicit_rule>,sprain,,,1,
detail,strict_only,strict_only,Medial Meniscus,positive,v2_exact,<no_explicit_rule>,tear,,,97,
detail,strict_only,strict_only,Medial Meniscus,positive,v2_exact,target_local_association,abnormality,,,350,
