unit,target,status,count,denominator,mean,std,median,min,max,p05,p25,p75,p95,p99
Study-target pair,Lateral Meniscus,unknown,1200,4407 pairs for target,,,,,,,,,,
binary resolved Study-target pair,Lateral Meniscus,__all__,3143,4407 pairs for target,,,,,,,,,,
Mention,Medial OA,__all__,2421,Mentions,,,,,,,,,,
Proposition,Medial OA,__all__,1951,Propositions,,,,,,,,,,
selected evidence,Medial OA,__all__,1871,selected provenance entries,,,,,,,,,,
selected winning evidence,Medial OA,__all__,1861,selected provenance entries matching the final status,,,,,,,,,,
Study-target pair,Medial OA,positive,662,4407 pairs for target,,,,,,,,,,
Study-target pair,Medial OA,negative,589,4407 pairs for target,,,,,,,,,,
Study-target pair,Medial OA,uncertain,1,4407 pairs for target,,,,,,,,,,
Study-target pair,Medial OA,unknown,3155,4407 pairs for target,,,,,,,,,,
binary resolved Study-target pair,Medial OA,__all__,1251,4407 pairs for target,,,,,,,,,,
Mention,Lateral OA,__all__,2316,Mentions,,,,,,,,,,
Proposition,Lateral OA,__all__,1791,Propositions,,,,,,,,,,
selected evidence,Lateral OA,__all__,1749,selected provenance entries,,,,,,,,,,
selected winning evidence,Lateral OA,__all__,1738,selected provenance entries matching the final status,,,,,,,,,,
Study-target pair,Lateral OA,positive,438,4407 pairs for target,,,,,,,,,,
Study-target pair,Lateral OA,negative,680,4407 pairs for target,,,,,,,,,,
Study-target pair,Lateral OA,uncertain,0,4407 pairs for target,,,,,,,,,,
Study-target pair,Lateral OA,unknown,3289,4407 pairs for target,,,,,,,,,,
binary resolved Study-target pair,Lateral OA,__all__,1118,4407 pairs for target,,,,,,,,,,
Mention,PF OA,__all__,3962,Mentions,,,,,,,,,,
Proposition,PF OA,__all__,3104,Propositions,,,,,,,,,,
selected evidence,PF OA,__all__,2920,selected provenance entries,,,,,,,,,,
selected winning evidence,PF OA,__all__,2838,selected provenance entries matching the final status,,,,,,,,,,
Study-target pair,PF OA,positive,1015,4407 pairs for target,,,,,,,,,,
Study-target pair,PF OA,negative,864,4407 pairs for target,,,,,,,,,,
Study-target pair,PF OA,uncertain,10,4407 pairs for target,,,,,,,,,,
Study-target pair,PF OA,unknown,2518,4407 pairs for target,,,,,,,,,,
binary resolved Study-target pair,PF OA,__all__,1879,4407 pairs for target,,,,,,,,,,
Mention,Effusion,__all__,7053,Mentions,,,,,,,,,,
Proposition,Effusion,__all__,6811,Propositions,,,,,,,,,,
selected evidence,Effusion,__all__,5900,selected provenance entries,,,,,,,,,,
selected winning evidence,Effusion,__all__,5854,selected provenance entries matching the final status,,,,,,,,,,
Study-target pair,Effusion,positive,2550,4407 pairs for target,,,,,,,,,,
Study-target pair,Effusion,negative,977,4407 pairs for target,,,,,,,,,,
Study-target pair,Effusion,uncertain,6,4407 pairs for target,,,,,,,,,,
Study-target pair,Effusion,unknown,874,4407 pairs for target,,,,,,,,,,
binary resolved Study-target pair,Effusion,__all__,3527,4407 pairs for target,,,,,,,,,,
Mention,Synovitis,__all__,935,Mentions,,,,,,,,,,
Proposition,Synovitis,__all__,860,Propositions,,,,,,,,,,
selected evidence,Synovitis,__all__,819,selected provenance entries,,,,,,,,,,
selected winning evidence,Synovitis,__all__,814,selected provenance entries matching the final status,,,,,,,,,,
Study-target pair,Synovitis,positive,486,4407 pairs for target,,,,,,,,,,
Study-target pair,Synovitis,negative,21,4407 pairs for target,,,,,,,,,,
Study-target pair,Synovitis,uncertain,8,4407 pairs for target,,,,,,,,,,
Study-target pair,Synovitis,unknown,3892,4407 pairs for target,,,,,,,,,,
binary resolved Study-target pair,Synovitis,__all__,507,4407 pairs for target,,,,,,,,,,
Mention,Baker's,__all__,3580,Mentions,,,,,,,,,,
Proposition,Baker's,__all__,3326,Propositions,,,,,,,,,,
selected evidence,Baker's,__all__,2930,selected provenance entries,,,,,,,,,,
selected winning evidence,Baker's,__all__,2903,selected provenance entries matching the final status,,,,,,,,,,
Study-target pair,Baker's,positive,989,4407 pairs for target,,,,,,,,,,
Study-target pair,Baker's,negative,841,4407 pairs for target,,,,,,,,,,
Study-target pair,Baker's,uncertain,9,4407 pairs for target,,,,,,,,,,
Study-target pair,Baker's,unknown,2568,4407 pairs for target,,,,,,,,,,
binary resolved Study-target pair,Baker's,__all__,1830,4407 pairs for target,,,,,,,,,,
Mention,Contusion,__all__,1904,Mentions,,,,,,,,,,
Proposition,Contusion,__all__,1837,Propositions,,,,,,,,,,
selected evidence,Contusion,__all__,1582,selected provenance entries,,,,,,,,,,
selected winning evidence,Contusion,__all__,1567,selected provenance entries matching the final status,,,,,,,,,,
Study-target pair,Contusion,positive,359,4407 pairs for target,,,,,,,,,,
Study-target pair,Contusion,negative,448,4407 pairs for target,,,,,,,,,,
Study-target pair,Contusion,uncertain,14,4407 pairs for target,,,,,,,,,,
Study-target pair,Contusion,unknown,3586,4407 pairs for target,,,,,,,,,,
binary resolved Study-target pair,Contusion,__all__,807,4407 pairs for target,,,,,,,,,,
Mention,Fracture,__all__,2414,Mentions,,,,,,,,,,
Proposition,Fracture,__all__,1869,Propositions,,,,,,,,,,
selected evidence,Fracture,__all__,1618,selected provenance entries,,,,,,,,,,
selected winning evidence,Fracture,__all__,1594,selected provenance entries matching the final status,,,,,,,,,,
Study-target pair,Fracture,positive,249,4407 pairs for target,,,,,,,,,,
Study-target pair,Fracture,negative,585,4407 pairs for target,,,,,,,,,,
Study-target pair,Fracture,uncertain,40,4407 pairs for target,,,,,,,,,,
Study-target pair,Fracture,unknown,3533,4407 pairs for target,,,,,,,,,,
binary resolved Study-target pair,Fracture,__all__,834,4407 pairs for target,,,,,,,,,,
clauses per Report,__all__,__all__,4407,Reports,18.103244837758112,11.504819724570881,15.0,1.0,70.0,6.0,10.0,23.0,44.0,52.0
strict TextViews per Report,__all__,__all__,4407,Reports,18.103244837758112,11.504819724570881,15.0,1.0,70.0,6.0,10.0,23.0,44.0,52.0
linked TextViews per Report,__all__,__all__,4407,Reports,0.5849784433855231,0.8672596257754968,0.0,0.0,4.0,0.0,0.0,1.0,2.0,3.0
