target,status,evidence_instances,unique_normalized_texts,duplicated_instances_excess,duplicate_rate_excess,total_simple_tokens,unique_tokens,type_token_ratio,ttr_note,unigram_top_10_coverage,unigram_top_10_actual_n,unigram_top_25_coverage,unigram_top_25_actual_n,unigram_top_50_coverage,unigram_top_50_actual_n,unigram_top_100_coverage,unigram_top_100_actual_n,bigram_top_10_coverage,bigram_top_10_actual_n,bigram_top_25_coverage,bigram_top_25_actual_n,bigram_top_50_coverage,bigram_top_50_actual_n,bigram_top_100_coverage,bigram_top_100_actual_n
Effusion,positive,4252,1530,2722,0.6401693320790216,31080,1953,0.06283783783783783,Type-token ratio depends on the number of observed tokens.,0.27535392535392533,10,0.43484555984555984,25,0.5849099099099099,50,0.7300836550836551,100,0.1708662591322499,10,0.2968540330997465,25,0.41609512449679437,50,0.538019979126286,100
Effusion,uncertain,8,6,2,0.25,204,99,0.4852941176470588,Type-token ratio depends on the number of observed tokens.,0.23529411764705882,10,0.4264705882352941,25,0.6715686274509803,50,1.0,99,0.1326530612244898,10,0.2857142857142857,25,0.5408163265306123,50,0.9336734693877551,100
Fracture,negative,1153,117,1036,0.8985255854293148,7323,475,0.06486412672402021,Type-token ratio depends on the number of observed tokens.,0.7137785060767445,10,0.7974873685647959,25,0.8534753516318448,50,0.8986754062542673,100,0.6495948136142625,10,0.7270664505672609,25,0.7855753646677471,50,0.8278768233387358,100
Fracture,positive,393,388,5,0.01272264631043257,6928,1409,0.20337759815242495,Type-token ratio depends on the number of observed tokens.,0.18952078521939955,10,0.32144919168591224,25,0.4330254041570439,50,0.5526847575057737,100,0.0739097169089518,10,0.13511859219586841,25,0.20275439938791126,50,0.2884468247895945,100
Fracture,uncertain,48,40,8,0.16666666666666666,653,252,0.38591117917304746,Type-token ratio depends on the number of observed tokens.,0.28637059724349156,10,0.4793261868300153,25,0.6232771822358346,50,0.7672281776416539,100,0.2231404958677686,10,0.3305785123966942,25,0.428099173553719,50,0.571900826446281,100
Lateral Meniscus,negative,3583,480,3103,0.86603404967904,24454,752,0.030751615277664186,Type-token ratio depends on the number of observed tokens.,0.4340803140590496,10,0.6112701398544206,25,0.7618794471252147,50,0.8769935388893433,100,0.3002731062239471,10,0.48368549662210725,25,0.6299171098653634,50,0.7499880216568444,100
Lateral Meniscus,positive,1401,1189,212,0.15132048536759457,18918,1892,0.10001057194206575,Type-token ratio depends on the number of observed tokens.,0.28639391056137015,10,0.4177502907284068,25,0.5454593508827572,50,0.6560947246009092,100,0.14888394131415197,10,0.23942455899982873,25,0.3175772107095964,50,0.40863161500256895,100
Lateral Meniscus,uncertain,84,66,18,0.21428571428571427,1171,271,0.2314261315115286,Type-token ratio depends on the number of observed tokens.,0.43296327924850553,10,0.6216908625106746,25,0.7344150298889838,50,0.8334756618274979,100,0.2732290708371665,10,0.44618215271389144,25,0.5611775528978841,50,0.6614535418583257,100
Lateral OA,negative,1144,120,1024,0.8951048951048951,10211,304,0.029771814709626872,Type-token ratio depends on the number of observed tokens.,0.5439232200568015,10,0.7736754480462247,25,0.9082362158456566,50,0.9608265595925962,100,0.426271092974523,10,0.6230285651262821,25,0.7988309253336274,50,0.9021727142384471,100
Lateral OA,positive,594,496,98,0.16498316498316498,9131,1047,0.11466433030336218,Type-token ratio depends on the number of observed tokens.,0.22440039426130765,10,0.3495783594348921,25,0.47979410798379146,50,0.6372795969773299,100,0.08890711022607474,10,0.16563195501932762,25,0.2528991448986764,50,0.36605364882277147,100
MCL,negative,3728,577,3151,0.845225321888412,34315,743,0.02165233862742241,Type-token ratio depends on the number of observed tokens.,0.35162465394142506,10,0.5638933411044733,25,0.7205886638496285,50,0.854815678274807,100,0.23696341583025468,10,0.4258998921110276,25,0.5774348579461863,50,0.7234119070193219,100
MCL,positive,645,493,152,0.23565891472868217,8196,1031,0.12579306979014154,Type-token ratio depends on the number of observed tokens.,0.3313811615422157,10,0.4862127867252318,25,0.6085895558809176,50,0.7307223035627135,100,0.16765991259435836,10,0.25956826910343,25,0.35597934048470403,50,0.47583101575950204,100
MCL,uncertain,23,20,3,0.13043478260869565,406,140,0.3448275862068966,Type-token ratio depends on the number of observed tokens.,0.3497536945812808,10,0.5640394088669951,25,0.7364532019704434,50,0.9014778325123153,100,0.2297650130548303,10,0.381201044386423,25,0.5117493472584856,50,0.7023498694516971,100
Medial Meniscus,negative,1776,374,1402,0.7894144144144144,14293,668,0.046736164556076404,Type-token ratio depends on the number of observed tokens.,0.4365773455537676,10,0.6305883999160428,25,0.7575736374449031,50,0.8723151192891625,100,0.32332028441319804,10,0.4856595030758169,25,0.6130063114164735,50,0.7385156187584885,100
Medial Meniscus,positive,3123,2476,647,0.20717259045789305,45820,2873,0.06270187690964645,Type-token ratio depends on the number of observed tokens.,0.2754692274116107,10,0.38991706678306415,25,0.5052597119161938,50,0.6307944129201222,100,0.14909712626179825,10,0.22554277818113685,25,0.30515024474787455,50,0.39796707028596856,100
Medial Meniscus,uncertain,91,82,9,0.0989010989010989,1433,432,0.30146545708304257,Type-token ratio depends on the number of observed tokens.,0.28890439637124915,10,0.43754361479413817,25,0.5708304256803908,50,0.7048150732728542,100,0.18032786885245902,10,0.2816691505216095,25,0.37853949329359166,50,0.4843517138599106,100
Medial OA,negative,945,96,849,0.8984126984126984,8955,298,0.03327749860413177,Type-token ratio depends on the number of observed tokens.,0.5414852037967616,10,0.7973199329983249,25,0.923394751535455,50,0.9634840871021776,100,0.4257178526841448,10,0.6781523096129838,25,0.849812734082397,50,0.9151061173533084,100
Medial OA,positive,915,775,140,0.15300546448087432,15122,1595,0.10547546620817352,Type-token ratio depends on the number of observed tokens.,0.2112815765110435,10,0.33024732178283295,25,0.44524533791826476,50,0.5819997354847243,100,0.08742169353135779,10,0.15006686844513267,25,0.22207362567748293,50,0.3194200042232702,100
Medial OA,uncertain,1,1,0,0.0,29,23,0.7931034482758621,Type-token ratio depends on the number of observed tokens.,0.5517241379310345,10,1.0,23,1.0,23,1.0,23,0.42857142857142855,10,0.9642857142857143,25,1.0,26,1.0,26
PF OA,negative,1414,229,1185,0.8380480905233381,11785,467,0.03962664403903267,Type-token ratio depends on the number of observed tokens.,0.47170131523122616,10,0.7455239711497667,25,0.8706830717013152,50,0.9375477301654646,100,0.33429756050525505,10,0.6174910808986597,25,0.7722495419920934,50,0.8617298235464276,100
PF OA,positive,1412,1267,145,0.10269121813031161,22921,2084,0.09092098948562453,Type-token ratio depends on the number of observed tokens.,0.22145630644387243,10,0.3641638671960211,25,0.4759827232668732,50,0.594389424545177,100,0.0948905109489051,10,0.16444279138965084,25,0.2237667952949928,50,0.29927007299270075,100
PF OA,uncertain,12,12,0,0.0,275,109,0.39636363636363636,Type-token ratio depends on the number of observed tokens.,0.32,10,0.5418181818181819,25,0.7236363636363636,50,0.9672727272727273,100,0.17870722433460076,10,0.3155893536121673,25,0.5057034220532319,50,0.7832699619771863,100
Synovitis,negative,22,19,3,0.13636363636363635,188,69,0.3670212765957447,Type-token ratio depends on the number of observed tokens.,0.39361702127659576,10,0.675531914893617,25,0.898936170212766,50,1.0,69,0.21686746987951808,10,0.4457831325301205,25,0.6927710843373494,50,0.9939759036144579,100
Synovitis,positive,783,448,335,0.4278416347381865,7618,990,0.12995536886321868,Type-token ratio depends on the number of observed tokens.,0.31963770018377524,10,0.5052507219742715,25,0.6413756891572592,50,0.7364137568915726,100,0.1789319678127286,10,0.342794440380395,25,0.46627651792245794,50,0.5502560351133869,100
Synovitis,uncertain,9,7,2,0.2222222222222222,124,56,0.45161290322580644,Type-token ratio depends on the number of observed tokens.,0.4435483870967742,10,0.75,25,0.9516129032258065,50,1.0,56,0.28695652173913044,10,0.6,25,0.8173913043478261,50,1.0,71
