target,phenotype,status,propositions,proportion_within_target_status_propositions,target_status_proposition_denominator,selected_winning_evidence_instances
Medial OA,chondral_abnormality,positive,816,0.8242424242424242,990,801
Medial OA,chondral_abnormality,uncertain,3,1.0,3,1
Medial OA,chondral_abnormality_absent,negative,298,0.31106471816283926,958,295
Medial OA,degeneration,positive,69,0.0696969696969697,990,52
Medial OA,fracture,positive,5,0.005050505050505051,990,1
Medial OA,normal_cartilage,negative,122,0.12734864300626306,958,119
Medial OA,tear,positive,29,0.029292929292929294,990,10
PF OA,abnormality,positive,60,0.03875968992248062,1548,22
PF OA,abnormality_absent,negative,667,0.4342447916666667,1536,623
PF OA,chondral_abnormality,positive,1426,0.9211886304909561,1548,1341
PF OA,chondral_abnormality,uncertain,20,1.0,20,12
PF OA,chondral_abnormality_absent,negative,312,0.203125,1536,282
PF OA,degeneration,positive,55,0.0355297157622739,1548,43
PF OA,fracture,positive,1,0.0006459948320413437,1548,1
PF OA,normal_cartilage,negative,557,0.3626302083333333,1536,509
PF OA,tear,positive,6,0.003875968992248062,1548,5
Synovitis,abnormality,positive,709,0.8614823815309842,823,677
Synovitis,abnormality,uncertain,12,0.8571428571428571,14,8
Synovitis,abnormality_absent,negative,22,0.9565217391304348,23,21
Synovitis,chondral_abnormality,positive,13,0.015795868772782502,823,12
Synovitis,degeneration,positive,4,0.004860267314702308,823,1
Synovitis,fracture,positive,1,0.001215066828675577,823,1
Synovitis,fracture,uncertain,1,0.07142857142857142,14,1
Synovitis,sprain,positive,6,0.007290400972053463,823,6
Synovitis,synovitis,positive,79,0.0959902794653706,823,75
Synovitis,synovitis,uncertain,1,0.07142857142857142,14,0
Synovitis,synovitis_absent,negative,1,0.043478260869565216,23,1
Synovitis,tear,positive,11,0.013365735115431349,823,11
