unit,detector,target,status,phenotype,language,rule,count,unique_studies,unique_study_target_pairs,non_additivity_note
mention,v2_exact,Medial OA,positive,chondral_abnormality,english,<no_explicit_rule>,272,238,238,Detector participation counts can overlap.
mention,v3_target,Lateral OA,positive,chondral_abnormality,english,compartment_scope,272,203,203,Detector participation counts can overlap.
mention,v3_target,Medial OA,negative,chondral_abnormality_absent,english,compartment_scope,270,270,270,Detector participation counts can overlap.
mention,v2_exact,MCL,negative,abnormality_absent,turkish,<no_explicit_rule>,269,267,267,Detector participation counts can overlap.
mention,v3_target,MCL,negative,normal_structure,turkish,target_local_normality,269,268,268,Detector participation counts can overlap.
mention,v3_morphology,Baker's,negative,baker_cyst_absent,english,baker_variants,268,268,268,Detector participation counts can overlap.
mention,v3_target,PF OA,negative,chondral_abnormality_absent,english,compartment_scope,254,251,251,Detector participation counts can overlap.
mention,v2_exact,Lateral Meniscus,negative,abnormality_absent,south_slavic,<no_explicit_rule>,244,244,244,Detector participation counts can overlap.
mention,v2_exact,Effusion,positive,abnormality,cyrillic_script,<no_explicit_rule>,239,134,134,Detector participation counts can overlap.
mention,v2_collective,ACL,negative,abnormality_absent,spanish,cruciate_and_collateral_ligaments,238,238,238,Detector participation counts can overlap.
mention,v2_collective,MCL,negative,abnormality_absent,spanish,cruciate_and_collateral_ligaments,238,238,238,Detector participation counts can overlap.
mention,v2_collective,MCL,negative,abnormality_absent,english,collateral_ligaments,234,234,234,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,positive,abnormality,cyrillic_script,target_local_association,231,130,130,Detector participation counts can overlap.
mention,v2_collective,Lateral Meniscus,negative,abnormality_absent,english,both_menisci_negative_only,225,223,223,Detector participation counts can overlap.
mention,v2_collective,Medial Meniscus,negative,abnormality_absent,english,both_menisci_negative_only,223,222,222,Detector participation counts can overlap.
mention,v2_exact,Effusion,positive,abnormality,greek_script,<no_explicit_rule>,219,189,189,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,positive,tear,turkish,target_local_association,212,196,196,Detector participation counts can overlap.
mention,v2_exact,Lateral OA,positive,chondral_abnormality,english,<no_explicit_rule>,209,181,181,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,positive,tear,spanish,target_local_association,208,87,87,Detector participation counts can overlap.
mention,v2_collective,PF OA,negative,abnormality_absent,spanish,tibiofemoral_compartments,206,104,104,Detector participation counts can overlap.
mention,v2_exact,Medial Meniscus,positive,tear,turkish,<no_explicit_rule>,206,190,190,Detector participation counts can overlap.
mention,v2_exact,Contusion,positive,abnormality,english,<no_explicit_rule>,204,137,137,Detector participation counts can overlap.
mention,v2_exact,Effusion,positive,abnormality,turkish,<no_explicit_rule>,203,201,201,Detector participation counts can overlap.
mention,v2_exact,Medial Meniscus,positive,abnormality,cyrillic_script,<no_explicit_rule>,197,115,115,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,positive,degeneration,turkish,target_local_association,197,166,166,Detector participation counts can overlap.
mention,v2_exact,Synovitis,positive,abnormality,spanish,<no_explicit_rule>,196,102,102,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,negative,abnormality_absent,english,target_local_association,196,190,190,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,positive,tear,south_slavic,target_local_association,184,174,174,Detector participation counts can overlap.
mention,v2_exact,Medial Meniscus,positive,degeneration,turkish,<no_explicit_rule>,182,158,158,Detector participation counts can overlap.
mention,v2_collective,Medial Meniscus,negative,abnormality_absent,english,both_menisci,174,173,173,Detector participation counts can overlap.
mention,v2_exact,Effusion,negative,abnormality_absent,spanish,<no_explicit_rule>,171,171,171,Detector participation counts can overlap.
mention,v2_exact,Fracture,positive,fracture,english,<no_explicit_rule>,168,91,91,Detector participation counts can overlap.
mention,v2_collective,Lateral Meniscus,negative,abnormality_absent,english,both_menisci,166,165,165,Detector participation counts can overlap.
mention,v2_exact,Lateral Meniscus,positive,tear,spanish,<no_explicit_rule>,166,88,88,Detector participation counts can overlap.
mention,v3_target,MCL,positive,sprain,english,target_local_association,166,108,108,Detector participation counts can overlap.
mention,v2_collective,Medial OA,negative,abnormality_absent,spanish,tibiofemoral_compartments,165,165,165,Detector participation counts can overlap.
mention,v2_exact,MCL,negative,abnormality_absent,south_slavic,<no_explicit_rule>,165,165,165,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,positive,degeneration,turkish,target_local_association,160,127,127,Detector participation counts can overlap.
mention,v3_morphology,Effusion,positive,joint_effusion,greek_script,effusion_el_root,159,131,131,Detector participation counts can overlap.
mention,v2_collective,MCL,negative,abnormality_absent,turkish,collateral_ligaments,157,156,156,Detector participation counts can overlap.
mention,v2_exact,MCL,positive,sprain,english,<no_explicit_rule>,156,106,106,Detector participation counts can overlap.
mention,v3_target,Lateral OA,negative,normal_cartilage,english,compartment_normality,155,154,154,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,positive,degeneration,english,target_local_association,153,118,118,Detector participation counts can overlap.
mention,v3_target,ACL,negative,normal_structure,south_slavic,target_local_normality,151,150,150,Detector participation counts can overlap.
mention,v3_target,MCL,negative,normal_structure,south_slavic,target_local_normality,150,150,150,Detector participation counts can overlap.
mention,v2_collective,ACL,negative,abnormality_absent,german,cruciate_ligaments,148,148,148,Detector participation counts can overlap.
mention,v2_exact,Baker's,negative,abnormality_absent,south_slavic,<no_explicit_rule>,146,146,146,Detector participation counts can overlap.
mention,v3_target,ACL,negative,abnormality_absent,english,target_local_association,143,140,140,Detector participation counts can overlap.
mention,v2_exact,Medial Meniscus,positive,tear,south_slavic,<no_explicit_rule>,138,133,133,Detector participation counts can overlap.
mention,v2_collective,ACL,negative,abnormality_absent,cyrillic_script,cruciate_ligaments,137,134,134,Detector participation counts can overlap.
mention,v3_target,ACL,positive,degeneration,turkish,target_local_association,137,94,94,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,negative,abnormality_absent,south_slavic,target_local_association,136,132,132,Detector participation counts can overlap.
mention,v2_collective,ACL,negative,abnormality_absent,english,cruciate_ligaments,134,134,134,Detector participation counts can overlap.
mention,v2_collective,MCL,negative,abnormality_absent,south_slavic,collateral_ligaments,134,134,134,Detector participation counts can overlap.
mention,v2_exact,Lateral Meniscus,positive,degeneration,turkish,<no_explicit_rule>,133,115,115,Detector participation counts can overlap.
mention,v3_morphology,Effusion,negative,joint_effusion_absent,turkish,effusion_tr_root,132,132,132,Detector participation counts can overlap.
mention,v2_exact,Effusion,negative,abnormality_absent,turkish,<no_explicit_rule>,131,131,131,Detector participation counts can overlap.
mention,v2_exact,Lateral Meniscus,negative,abnormality_absent,spanish,<no_explicit_rule>,130,125,125,Detector participation counts can overlap.
mention,v2_collective,Lateral Meniscus,negative,abnormality_absent,spanish,both_menisci_negative_only,127,127,127,Detector participation counts can overlap.
mention,v2_collective,Medial Meniscus,negative,abnormality_absent,spanish,both_menisci_negative_only,127,127,127,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,negative,abnormality_absent,spanish,target_local_association,126,120,120,Detector participation counts can overlap.
mention,v2_exact,Baker's,positive,abnormality,spanish,<no_explicit_rule>,125,76,76,Detector participation counts can overlap.
mention,v2_exact,ACL,negative,abnormality_absent,south_slavic,<no_explicit_rule>,124,124,124,Detector participation counts can overlap.
mention,v3_target,MCL,positive,tear,english,target_local_association,122,74,74,Detector participation counts can overlap.
mention,v2_collective,MCL,negative,abnormality_absent,greek_script,collateral_ligaments,121,118,118,Detector participation counts can overlap.
mention,v2_collective,MCL,negative,abnormality_absent,cyrillic_script,collateral_ligaments,120,118,118,Detector participation counts can overlap.
mention,v2_exact,Medial Meniscus,negative,abnormality_absent,spanish,<no_explicit_rule>,120,112,112,Detector participation counts can overlap.
mention,v3_morphology,Baker's,positive,baker_cyst,greek_script,baker_el,119,104,104,Detector participation counts can overlap.
mention,v2_exact,Medial Meniscus,positive,degeneration,english,<no_explicit_rule>,117,90,90,Detector participation counts can overlap.
mention,v2_exact,MCL,positive,tear,english,<no_explicit_rule>,114,76,76,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,negative,abnormality_absent,spanish,target_local_association,114,107,107,Detector participation counts can overlap.
mention,v3_target,Medial OA,positive,chondral_abnormality,spanish,compartment_scope,113,59,59,Detector participation counts can overlap.
mention,v3_target,PF OA,negative,normal_cartilage,spanish,compartment_normality,113,113,113,Detector participation counts can overlap.
mention,v2_exact,ACL,positive,abnormality,english,<no_explicit_rule>,112,72,72,Detector participation counts can overlap.
mention,v2_exact,Effusion,positive,abnormality,german,<no_explicit_rule>,112,112,112,Detector participation counts can overlap.
mention,v2_exact,Effusion,positive,abnormality,french,<no_explicit_rule>,110,76,76,Detector participation counts can overlap.
mention,v3_target,ACL,positive,tear,spanish,target_local_association,109,47,47,Detector participation counts can overlap.
mention,v3_morphology,Effusion,positive,joint_effusion,german,effusion_de_root,107,107,107,Detector participation counts can overlap.
mention,v2_exact,Fracture,positive,fracture,spanish,<no_explicit_rule>,105,51,51,Detector participation counts can overlap.
mention,v2_exact,Medial Meniscus,positive,tear,greek_script,<no_explicit_rule>,105,97,97,Detector participation counts can overlap.
mention,v2_exact,Effusion,positive,abnormality,dutch,<no_explicit_rule>,103,75,75,Detector participation counts can overlap.
mention,v2_exact,Baker's,positive,abnormality,greek_script,<no_explicit_rule>,102,91,91,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,uncertain,tear,english,target_local_association,102,71,71,Detector participation counts can overlap.
mention,v3_target,PF OA,positive,chondral_abnormality,spanish,compartment_scope,101,58,58,Detector participation counts can overlap.
mention,v2_collective,Lateral OA,positive,chondral_abnormality,spanish,tibiofemoral_compartments,100,27,27,Detector participation counts can overlap.
mention,v2_exact,ACL,positive,degeneration,english,<no_explicit_rule>,100,66,66,Detector participation counts can overlap.
mention,v3_target,Medial OA,negative,normal_cartilage,english,compartment_normality,100,100,100,Detector participation counts can overlap.
mention,v2_exact,Effusion,negative,abnormality_absent,south_slavic,<no_explicit_rule>,99,98,98,Detector participation counts can overlap.
mention,v3_target,PF OA,positive,chondral_abnormality,dutch,compartment_scope,99,64,64,Detector participation counts can overlap.
mention,v3_target,PF OA,positive,chondral_abnormality,south_slavic,compartment_scope,99,91,91,Detector participation counts can overlap.
mention,v3_morphology,Baker's,positive,baker_cyst,south_slavic,baker_sl,98,95,95,Detector participation counts can overlap.
mention,v2_exact,Baker's,positive,abnormality,cyrillic_script,<no_explicit_rule>,97,53,53,Detector participation counts can overlap.
mention,v3_target,ACL,positive,abnormality,english,target_local_association,97,62,62,Detector participation counts can overlap.
mention,v3_target,ACL,positive,degeneration,english,target_local_association,96,64,64,Detector participation counts can overlap.
mention,v3_target,MCL,positive,sprain,turkish,target_local_association,96,88,88,Detector participation counts can overlap.
mention,v2_exact,Medial Meniscus,negative,abnormality_absent,south_slavic,<no_explicit_rule>,94,94,94,Detector participation counts can overlap.
mention,v3_target,ACL,positive,degeneration,south_slavic,target_local_association,94,93,93,Detector participation counts can overlap.
mention,v2_exact,Lateral Meniscus,negative,abnormality_absent,german,<no_explicit_rule>,92,91,91,Detector participation counts can overlap.
mention,v2_exact,Lateral Meniscus,negative,abnormality_absent,cyrillic_script,<no_explicit_rule>,91,89,89,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,negative,normal_structure,cyrillic_script,target_local_normality,90,88,88,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,uncertain,tear,english,target_local_association,89,61,61,Detector participation counts can overlap.
mention,v3_target,ACL,positive,tear,turkish,target_local_association,88,78,78,Detector participation counts can overlap.
mention,v3_target,PF OA,positive,chondral_abnormality,german,compartment_scope,88,75,75,Detector participation counts can overlap.
mention,v2_exact,Baker's,positive,tear,english,<no_explicit_rule>,86,60,60,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,positive,tear,greek_script,target_local_association,86,78,78,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,negative,normal_structure,german,target_local_normality,85,84,84,Detector participation counts can overlap.
mention,v2_exact,PF OA,positive,chondral_abnormality,spanish,<no_explicit_rule>,84,53,53,Detector participation counts can overlap.
mention,v2_collective,PF OA,positive,chondral_abnormality,spanish,tibiofemoral_compartments,82,22,22,Detector participation counts can overlap.
mention,v2_exact,Medial OA,positive,chondral_abnormality,spanish,<no_explicit_rule>,80,44,44,Detector participation counts can overlap.
mention,v2_exact,PF OA,negative,abnormality_absent,spanish,<no_explicit_rule>,79,79,79,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,positive,degeneration,south_slavic,target_local_association,79,78,78,Detector participation counts can overlap.
mention,v2_exact,Effusion,negative,abnormality_absent,cyrillic_script,<no_explicit_rule>,78,77,77,Detector participation counts can overlap.
mention,v2_exact,ACL,positive,tear,spanish,<no_explicit_rule>,77,41,41,Detector participation counts can overlap.
mention,v2_exact,MCL,positive,abnormality,english,<no_explicit_rule>,76,53,53,Detector participation counts can overlap.
mention,v3_morphology,Baker's,negative,baker_cyst_absent,south_slavic,baker_sl,76,74,74,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,positive,degeneration,english,target_local_association,76,62,62,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,positive,tear,south_slavic,target_local_association,75,73,73,Detector participation counts can overlap.
mention,v2_exact,Lateral Meniscus,uncertain,tear,english,<no_explicit_rule>,74,54,54,Detector participation counts can overlap.
mention,v3_morphology,Fracture,uncertain,fracture,english,fracture_en,73,51,51,Detector participation counts can overlap.
mention,v2_exact,Baker's,positive,abnormality,south_slavic,<no_explicit_rule>,72,72,72,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,positive,tear,turkish,target_local_association,72,63,63,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,negative,abnormality_absent,english,target_local_association,72,68,68,Detector participation counts can overlap.
mention,v2_exact,ACL,positive,tear,turkish,<no_explicit_rule>,71,62,62,Detector participation counts can overlap.
mention,v3_target,PF OA,positive,chondral_abnormality,turkish,compartment_scope,71,70,70,Detector participation counts can overlap.
mention,v2_exact,ACL,positive,degeneration,turkish,<no_explicit_rule>,70,68,68,Detector participation counts can overlap.
mention,v2_exact,Baker's,positive,abnormality,turkish,<no_explicit_rule>,70,58,58,Detector participation counts can overlap.
mention,v3_target,Lateral OA,positive,chondral_abnormality,spanish,compartment_scope,70,41,41,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,positive,degeneration,dutch,target_local_association,69,43,43,Detector participation counts can overlap.
mention,v2_exact,MCL,negative,abnormality_absent,german,<no_explicit_rule>,68,68,68,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,negative,normal_structure,south_slavic,target_local_normality,68,67,67,Detector participation counts can overlap.
mention,v3_target,MCL,negative,normal_structure,german,target_local_normality,68,67,67,Detector participation counts can overlap.
mention,v3_target,Medial OA,positive,chondral_abnormality,greek_script,compartment_scope,68,50,50,Detector participation counts can overlap.
mention,v3_target,ACL,positive,tear,south_slavic,target_local_association,67,66,66,Detector participation counts can overlap.
mention,v3_target,MCL,positive,abnormality,english,target_local_association,67,47,47,Detector participation counts can overlap.
mention,v2_exact,Baker's,positive,abnormality,dutch,<no_explicit_rule>,66,47,47,Detector participation counts can overlap.
mention,v2_exact,Lateral Meniscus,positive,tear,turkish,<no_explicit_rule>,66,59,59,Detector participation counts can overlap.
mention,v2_exact,Medial Meniscus,uncertain,tear,english,<no_explicit_rule>,65,48,48,Detector participation counts can overlap.
mention,v2_exact,Baker's,positive,abnormality,german,<no_explicit_rule>,63,63,63,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,negative,abnormality_absent,south_slavic,target_local_association,63,63,63,Detector participation counts can overlap.
mention,v3_target,PF OA,positive,chondral_abnormality,greek_script,compartment_scope,63,53,53,Detector participation counts can overlap.
mention,v2_exact,Lateral Meniscus,positive,tear,south_slavic,<no_explicit_rule>,62,62,62,Detector participation counts can overlap.
mention,v2_collective,MCL,negative,abnormality_absent,german,collateral_ligaments,61,61,61,Detector participation counts can overlap.
mention,v2_collective,Medial Meniscus,negative,abnormality_absent,turkish,both_menisci,60,59,59,Detector participation counts can overlap.
mention,v2_exact,MCL,positive,sprain,turkish,<no_explicit_rule>,60,52,52,Detector participation counts can overlap.
mention,v2_collective,ACL,negative,abnormality_absent,dutch,cruciate_ligaments,59,58,58,Detector participation counts can overlap.
mention,v2_exact,Lateral Meniscus,positive,degeneration,english,<no_explicit_rule>,59,47,47,Detector participation counts can overlap.
mention,v2_exact,ACL,positive,tear,south_slavic,<no_explicit_rule>,58,58,58,Detector participation counts can overlap.
mention,v2_exact,Contusion,positive,abnormality,spanish,<no_explicit_rule>,58,30,30,Detector participation counts can overlap.
mention,v3_target,Medial OA,positive,chondral_abnormality,south_slavic,compartment_scope,58,57,57,Detector participation counts can overlap.
mention,v2_collective,ACL,negative,abnormality_absent,greek_script,cruciate_ligaments,57,55,55,Detector participation counts can overlap.
mention,v2_exact,Lateral OA,positive,chondral_abnormality,spanish,<no_explicit_rule>,57,36,36,Detector participation counts can overlap.
mention,v2_exact,Medial Meniscus,positive,degeneration,dutch,<no_explicit_rule>,57,34,34,Detector participation counts can overlap.
mention,v3_morphology,Fracture,positive,fracture,greek_script,fracture_el,57,43,43,Detector participation counts can overlap.
mention,v2_collective,ACL,negative,abnormality_absent,greek_script,cruciate_and_collateral_ligaments,56,56,56,Detector participation counts can overlap.
mention,v2_collective,MCL,negative,abnormality_absent,greek_script,cruciate_and_collateral_ligaments,56,56,56,Detector participation counts can overlap.
mention,v2_exact,Baker's,negative,abnormality_absent,french,<no_explicit_rule>,56,46,46,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,positive,abnormality,turkish,target_local_association,56,56,56,Detector participation counts can overlap.
mention,v2_collective,ACL,negative,abnormality_absent,south_slavic,cruciate_ligaments,55,55,55,Detector participation counts can overlap.
mention,v2_collective,MCL,negative,abnormality_absent,dutch,collateral_ligaments,55,54,54,Detector participation counts can overlap.
mention,v2_exact,Medial Meniscus,positive,abnormality,turkish,<no_explicit_rule>,55,55,55,Detector participation counts can overlap.
mention,v2_exact,Fracture,positive,fracture,greek_script,<no_explicit_rule>,53,43,43,Detector participation counts can overlap.
mention,v2_exact,Medial Meniscus,negative,abnormality_absent,turkish,<no_explicit_rule>,53,53,53,Detector participation counts can overlap.
mention,v2_exact,PF OA,negative,abnormality_absent,german,<no_explicit_rule>,53,52,52,Detector participation counts can overlap.
mention,v3_morphology,Fracture,negative,fracture_absent,french,fracture_fr,53,29,29,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,negative,normal_structure,turkish,target_local_normality,53,53,53,Detector participation counts can overlap.
mention,v2_collective,ACL,negative,abnormality_absent,english,cruciate_and_collateral_ligaments,52,52,52,Detector participation counts can overlap.
mention,v2_collective,MCL,negative,abnormality_absent,english,cruciate_and_collateral_ligaments,52,52,52,Detector participation counts can overlap.
mention,v3_target,MCL,positive,tear,spanish,target_local_association,52,27,27,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,positive,degeneration,french,target_local_association,52,32,32,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,positive,degeneration,greek_script,target_local_association,51,45,45,Detector participation counts can overlap.
mention,v2_collective,Medial OA,positive,chondral_abnormality,spanish,tibiofemoral_compartments,50,27,27,Detector participation counts can overlap.
mention,v2_exact,Lateral Meniscus,negative,abnormality_absent,dutch,<no_explicit_rule>,50,46,46,Detector participation counts can overlap.
mention,v2_exact,Lateral Meniscus,negative,abnormality_absent,french,<no_explicit_rule>,50,48,48,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,positive,degeneration,south_slavic,target_local_association,50,48,48,Detector participation counts can overlap.
mention,v3_target,PF OA,negative,normal_cartilage,cyrillic_script,compartment_normality,50,49,49,Detector participation counts can overlap.
mention,v3_morphology,Fracture,negative,fracture_absent,german,fracture_de,49,48,48,Detector participation counts can overlap.
mention,v2_collective,Lateral Meniscus,negative,abnormality_absent,german,both_menisci_negative_only,48,47,47,Detector participation counts can overlap.
mention,v2_exact,Effusion,negative,abnormality_absent,german,<no_explicit_rule>,48,47,47,Detector participation counts can overlap.
mention,v2_exact,MCL,positive,tear,spanish,<no_explicit_rule>,48,25,25,Detector participation counts can overlap.
mention,v2_exact,ACL,negative,abnormality_absent,turkish,<no_explicit_rule>,47,47,47,Detector participation counts can overlap.
mention,v3_morphology,Contusion,positive,bone_contusion,greek_script,contusion_el,47,42,42,Detector participation counts can overlap.
mention,v2_collective,Medial Meniscus,negative,abnormality_absent,german,both_menisci_negative_only,46,46,46,Detector participation counts can overlap.
mention,v2_exact,Fracture,uncertain,fracture,english,<no_explicit_rule>,46,38,38,Detector participation counts can overlap.
mention,v3_morphology,Effusion,negative,joint_effusion_absent,greek_script,effusion_el_root,46,34,34,Detector participation counts can overlap.
mention,v2_exact,ACL,negative,abnormality_absent,dutch,<no_explicit_rule>,45,45,45,Detector participation counts can overlap.
mention,v2_exact,ACL,positive,tear,greek_script,<no_explicit_rule>,45,42,42,Detector participation counts can overlap.
mention,v2_exact,Contusion,negative,abnormality_absent,german,<no_explicit_rule>,45,45,45,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,negative,normal_structure,dutch,target_local_normality,45,42,42,Detector participation counts can overlap.
mention,v3_target,Lateral Meniscus,negative,normal_structure,greek_script,target_local_normality,45,39,39,Detector participation counts can overlap.
mention,v3_target,MCL,negative,normal_structure,french,target_local_normality,45,45,45,Detector participation counts can overlap.
mention,v2_exact,Lateral Meniscus,positive,tear,greek_script,<no_explicit_rule>,44,41,41,Detector participation counts can overlap.
mention,v3_target,ACL,negative,normal_structure,dutch,target_local_normality,44,44,44,Detector participation counts can overlap.
mention,v3_target,ACL,negative,normal_structure,turkish,target_local_normality,44,44,44,Detector participation counts can overlap.
mention,v3_morphology,Effusion,negative,joint_effusion_absent,german,effusion_de_root,43,42,42,Detector participation counts can overlap.
mention,v3_target,ACL,positive,tear,greek_script,target_local_association,43,40,40,Detector participation counts can overlap.
mention,v3_target,Medial Meniscus,negative,normal_structure,german,target_local_normality,43,43,43,Detector participation counts can overlap.
mention,v3_target,Medial OA,positive,chondral_abnormality,dutch,compartment_scope,43,34,34,Detector participation counts can overlap.
