level,group_size,groups,instances
strict TextView,147,1,147
strict TextView,148,2,296
strict TextView,149,1,149
strict TextView,158,1,158
strict TextView,159,1,159
strict TextView,160,1,160
strict TextView,163,1,163
strict TextView,165,1,165
strict TextView,167,3,501
strict TextView,169,1,169
strict TextView,172,1,172
strict TextView,177,1,177
strict TextView,179,1,179
strict TextView,185,1,185
strict TextView,192,1,192
strict TextView,193,1,193
strict TextView,196,1,196
strict TextView,205,1,205
strict TextView,209,1,209
strict TextView,220,1,220
strict TextView,246,1,246
strict TextView,247,1,247
strict TextView,252,1,252
strict TextView,260,1,260
strict TextView,269,1,269
strict TextView,273,1,273
strict TextView,277,1,277
strict TextView,280,2,560
strict TextView,283,1,283
strict TextView,285,2,570
strict TextView,286,1,286
strict TextView,287,1,287
strict TextView,289,1,289
strict TextView,293,1,293
strict TextView,297,1,297
strict TextView,298,1,298
strict TextView,300,1,300
strict TextView,302,1,302
strict TextView,305,1,305
strict TextView,307,2,614
strict TextView,311,2,622
strict TextView,312,1,312
strict TextView,316,1,316
strict TextView,321,1,321
strict TextView,326,1,326
strict TextView,333,1,333
strict TextView,334,1,334
strict TextView,336,1,336
strict TextView,342,1,342
strict TextView,348,1,348
strict TextView,349,1,349
strict TextView,351,1,351
strict TextView,353,1,353
strict TextView,356,1,356
strict TextView,363,1,363
strict TextView,475,1,475
strict TextView,534,1,534
strict TextView,588,1,588
strict TextView,632,1,632
strict TextView,657,1,657
linked TextView,2,47,94
linked TextView,3,15,45
linked TextView,4,2,8
linked TextView,5,5,25
linked TextView,6,6,36
linked TextView,7,3,21
linked TextView,8,2,16
linked TextView,9,1,9
linked TextView,10,1,10
linked TextView,11,1,11
linked TextView,12,2,24
linked TextView,15,1,15
linked TextView,20,1,20
linked TextView,22,1,22
linked TextView,23,1,23
linked TextView,34,2,68
linked TextView,37,1,37
linked TextView,43,1,43
linked TextView,45,1,45
linked TextView,52,1,52
linked TextView,62,1,62
linked TextView,166,1,166
linked TextView,298,1,298
linked TextView,491,1,491
selected evidence,2,2423,4846
selected evidence,3,528,1584
selected evidence,4,356,1424
selected evidence,5,85,425
selected evidence,6,121,726
selected evidence,7,33,231
selected evidence,8,65,520
selected evidence,9,31,279
selected evidence,10,43,430
selected evidence,11,17,187
selected evidence,12,36,432
selected evidence,13,14,182
selected evidence,14,23,322
selected evidence,15,10,150
selected evidence,16,29,464
selected evidence,17,7,119
selected evidence,18,16,288
selected evidence,19,7,133
selected evidence,20,10,200
selected evidence,21,5,105
selected evidence,22,7,154
selected evidence,23,6,138
selected evidence,24,4,96
selected evidence,25,1,25
selected evidence,26,9,234
selected evidence,27,2,54
selected evidence,28,7,196
selected evidence,29,4,116
selected evidence,30,3,90
selected evidence,31,4,124
selected evidence,32,4,128
selected evidence,33,3,99
selected evidence,34,2,68
selected evidence,35,4,140
selected evidence,36,4,144
selected evidence,37,2,74
selected evidence,38,3,114
selected evidence,39,1,39
selected evidence,40,3,120
selected evidence,41,2,82
selected evidence,42,4,168
selected evidence,43,1,43
selected evidence,44,4,176
selected evidence,45,2,90
selected evidence,47,4,188
selected evidence,49,2,98
selected evidence,50,4,200
selected evidence,51,2,102
selected evidence,52,4,208
selected evidence,55,1,55
selected evidence,56,1,56
selected evidence,57,1,57
selected evidence,58,3,174
selected evidence,62,2,124
selected evidence,64,3,192
selected evidence,65,2,130
selected evidence,66,2,132
selected evidence,67,1,67
selected evidence,69,1,69
selected evidence,72,1,72
selected evidence,74,1,74
selected evidence,76,4,304
selected evidence,79,1,79
selected evidence,80,2,160
selected evidence,82,1,82
selected evidence,84,3,252
selected evidence,86,1,86
selected evidence,93,1,93
selected evidence,101,1,101
selected evidence,102,1,102
selected evidence,106,2,212
selected evidence,110,2,220
selected evidence,112,1,112
selected evidence,114,1,114
selected evidence,115,2,230
selected evidence,116,2,232
selected evidence,123,1,123
selected evidence,125,1,125
selected evidence,131,1,131
selected evidence,132,1,132
selected evidence,136,1,136
selected evidence,138,1,138
selected evidence,140,1,140
selected evidence,143,1,143
selected evidence,162,1,162
selected evidence,166,1,166
selected evidence,174,1,174
selected evidence,189,1,189
selected evidence,220,1,220
selected evidence,247,1,247
selected evidence,259,1,259
selected evidence,283,1,283
selected evidence,294,1,294
selected evidence,327,1,327
selected evidence,382,1,382
selected evidence,395,1,395
selected evidence,410,1,410
selected evidence,417,1,417
selected evidence,439,1,439
selected evidence,443,1,443
selected evidence,546,1,546
selected evidence,553,1,553
selected evidence,585,1,585
selected evidence,741,1,741
selected evidence,980,1,980
