rule,is_explicit_rule,mentions,propositions,unique_studies,selected_pair_participations,selected_winning_pair_participations,detectors,targets,languages,phenotypes,statuses,cumulative_selected_participation_share,cumulative_note
cruciate_and_collateral_ligaments,True,706,706,353,705,703,"[""v2_collective""]","[""ACL"", ""MCL""]","[""english"", ""greek_script"", ""latin_other"", ""spanish""]","[""abnormality_absent""]","[""negative""]",0.883920349907919,Participation denominator; pairs may participate through multiple rules.
fracture_en,True,1007,986,705,701,697,"[""v2_exact"", ""v3_morphology""]","[""Fracture""]","[""cyrillic_script"", ""english"", ""french"", ""greek_script"", ""latin_other"", ""spanish""]","[""fracture"", ""fracture_absent""]","[""negative"", ""positive"", ""uncertain""]",0.9039767495395948,Participation denominator; pairs may participate through multiple rules.
contusion_en,True,854,843,698,697,695,"[""v3_morphology""]","[""Contusion""]","[""english"", ""greek_script""]","[""bone_contusion"", ""bone_contusion_absent""]","[""negative"", ""positive"", ""uncertain""]",0.9239755985267035,Participation denominator; pairs may participate through multiple rules.
both_menisci,True,714,702,399,676,673,"[""v2_collective"", ""v3_target""]","[""Lateral Meniscus"", ""Medial Meniscus""]","[""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""abnormality_absent"", ""avulsion"", ""degeneration"", ""sprain"", ""tear""]","[""negative"", ""positive"", ""uncertain""]",0.9433413904235728,Participation denominator; pairs may participate through multiple rules.
tibiofemoral_compartments,True,996,621,225,563,557,"[""v2_collective"", ""v2_exact"", ""v3_target""]","[""Lateral OA"", ""Medial OA"", ""PF OA""]","[""english"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish""]","[""abnormality"", ""abnormality_absent"", ""chondral_abnormality"", ""degeneration"", ""tear""]","[""negative"", ""positive""]",0.9593692449355433,Participation denominator; pairs may participate through multiple rules.
effusion_tr_root,True,471,471,457,457,457,"[""v3_morphology""]","[""Effusion""]","[""turkish""]","[""joint_effusion"", ""joint_effusion_absent"", ""tear""]","[""negative"", ""positive""]",0.9725195672191529,Participation denominator; pairs may participate through multiple rules.
baker_sl,True,175,175,170,170,170,"[""v3_morphology""]","[""Baker's""]","[""english"", ""south_slavic""]","[""baker_cyst"", ""baker_cyst_absent""]","[""negative"", ""positive"", ""uncertain""]",0.9774113720073665,Participation denominator; pairs may participate through multiple rules.
effusion_el_root,True,206,202,164,163,163,"[""v3_morphology""]","[""Effusion""]","[""greek_script""]","[""joint_effusion"", ""joint_effusion_absent""]","[""negative"", ""positive"", ""uncertain""]",0.9821017495395948,Participation denominator; pairs may participate through multiple rules.
effusion_de_root,True,150,149,148,148,148,"[""v3_morphology""]","[""Effusion""]","[""german""]","[""joint_effusion"", ""joint_effusion_absent""]","[""negative"", ""positive""]",0.986360497237569,Participation denominator; pairs may participate through multiple rules.
baker_el,True,120,119,105,104,104,"[""v3_morphology""]","[""Baker's""]","[""greek_script""]","[""baker_cyst""]","[""positive"", ""uncertain""]",0.9893531307550645,Participation denominator; pairs may participate through multiple rules.
fracture_de,True,51,51,50,50,50,"[""v2_exact"", ""v3_morphology""]","[""Fracture""]","[""german""]","[""fracture"", ""fracture_absent""]","[""negative"", ""positive""]",0.990791896869245,Participation denominator; pairs may participate through multiple rules.
fracture_el,True,60,60,45,45,45,"[""v2_exact"", ""v3_morphology""]","[""Fracture""]","[""english"", ""greek_script""]","[""fracture"", ""fracture_absent""]","[""negative"", ""positive""]",0.9920867863720073,Participation denominator; pairs may participate through multiple rules.
contusion_el,True,48,48,42,42,42,"[""v3_morphology""]","[""Contusion""]","[""english"", ""greek_script""]","[""bone_contusion"", ""bone_contusion_absent""]","[""negative"", ""positive""]",0.993295349907919,Participation denominator; pairs may participate through multiple rules.
fracture_fr,True,75,75,35,35,35,"[""v2_exact"", ""v3_morphology""]","[""Fracture""]","[""english"", ""french""]","[""fracture"", ""fracture_absent""]","[""negative"", ""positive"", ""uncertain""]",0.9943024861878453,Participation denominator; pairs may participate through multiple rules.
contusion_tr,True,36,36,30,29,29,"[""v3_morphology""]","[""Contusion""]","[""turkish""]","[""bone_contusion""]","[""positive"", ""uncertain""]",0.99513697053407,Participation denominator; pairs may participate through multiple rules.
synovitis_el,True,40,40,26,26,26,"[""v3_morphology""]","[""Synovitis""]","[""greek_script""]","[""synovitis""]","[""positive""]",0.9958851289134438,Participation denominator; pairs may participate through multiple rules.
synovitis_tr,True,22,22,22,22,22,"[""v3_morphology""]","[""Synovitis""]","[""turkish""]","[""synovitis""]","[""positive""]",0.9965181860036832,Participation denominator; pairs may participate through multiple rules.
fracture_cyr,True,45,45,21,21,21,"[""v2_exact"", ""v3_morphology""]","[""Fracture""]","[""cyrillic_script""]","[""fracture"", ""fracture_absent""]","[""negative"", ""positive""]",0.997122467771639,Participation denominator; pairs may participate through multiple rules.
fracture_tr,True,28,28,20,20,20,"[""v2_exact"", ""v3_morphology""]","[""Fracture""]","[""turkish""]","[""fracture""]","[""positive"", ""uncertain""]",0.9976979742173112,Participation denominator; pairs may participate through multiple rules.
contusion_cyr,True,30,30,19,19,19,"[""v3_morphology""]","[""Contusion""]","[""cyrillic_script""]","[""bone_contusion""]","[""positive""]",0.9982447053406999,Participation denominator; pairs may participate through multiple rules.
fracture_sl,True,27,27,21,19,18,"[""v2_exact"", ""v3_morphology""]","[""Fracture""]","[""south_slavic""]","[""fracture"", ""fracture_absent""]","[""negative"", ""positive"", ""uncertain""]",0.9987626611418048,Participation denominator; pairs may participate through multiple rules.
synovitis_de,True,17,16,14,14,14,"[""v3_morphology""]","[""Synovitis""]","[""german""]","[""synovitis"", ""synovitis_absent""]","[""negative"", ""positive"", ""uncertain""]",0.9991655156537753,Participation denominator; pairs may participate through multiple rules.
contusion_sl,True,12,12,12,12,12,"[""v3_morphology""]","[""Contusion""]","[""south_slavic""]","[""bone_contusion""]","[""positive"", ""uncertain""]",0.9995108195211786,Participation denominator; pairs may participate through multiple rules.
baker_nl,True,12,12,9,9,9,"[""v3_morphology""]","[""Baker's""]","[""dutch"", ""english""]","[""baker_cyst"", ""baker_cyst_absent""]","[""negative"", ""positive""]",0.9997697974217311,Participation denominator; pairs may participate through multiple rules.
lateral_and_patellofemoral_compartments,True,7,7,4,5,5,"[""v2_collective"", ""v2_exact"", ""v3_target""]","[""Lateral OA"", ""PF OA""]","[""english""]","[""chondral_abnormality"", ""tear""]","[""positive""]",0.9999136740331491,Participation denominator; pairs may participate through multiple rules.
synovitis_sl,True,3,3,3,3,3,"[""v3_morphology""]","[""Synovitis""]","[""south_slavic""]","[""synovitis""]","[""positive""]",1.0,Participation denominator; pairs may participate through multiple rules.
