target,status,evidence_instances,unique_normalized_evidence,proportion_duplicated_excess,detectors,phenotypes,rules,languages
Lateral Meniscus,uncertain,84,66,0.21428571428571427,"[""v2_exact"", ""v3_target""]","[""abnormality"", ""degeneration"", ""tear""]","[""target_local_association""]","[""dutch"", ""english"", ""german"", ""south_slavic"", ""spanish"", ""turkish""]"
Lateral OA,negative,1144,120,0.8951048951048951,"[""v2_collective"", ""v2_exact"", ""v3_target""]","[""abnormality_absent"", ""chondral_abnormality_absent"", ""normal_cartilage""]","[""compartment_normality"", ""compartment_scope"", ""tibiofemoral_compartments""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish""]"
Lateral OA,positive,594,496,0.16498316498316498,"[""v2_collective"", ""v2_exact"", ""v3_target""]","[""abnormality"", ""chondral_abnormality"", ""degeneration"", ""tear""]","[""compartment_scope"", ""lateral_and_patellofemoral_compartments"", ""tibiofemoral_compartments""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]"
MCL,negative,3728,577,0.845225321888412,"[""v2_collective"", ""v2_exact"", ""v3_target""]","[""abnormality_absent"", ""normal_structure""]","[""collateral_ligaments"", ""cruciate_and_collateral_ligaments"", ""target_local_association"", ""target_local_normality""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]"
MCL,positive,645,493,0.23565891472868217,"[""v2_exact"", ""v3_target""]","[""abnormality"", ""avulsion"", ""degeneration"", ""fracture"", ""sprain"", ""tear""]","[""target_local_association""]","[""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]"
MCL,uncertain,23,20,0.13043478260869565,"[""v2_exact"", ""v3_target""]","[""abnormality"", ""degeneration"", ""sprain"", ""tear""]","[""target_local_association""]","[""english"", ""german"", ""south_slavic"", ""spanish""]"
Medial Meniscus,negative,1776,374,0.7894144144144144,"[""v2_collective"", ""v2_exact"", ""v3_target""]","[""abnormality_absent"", ""normal_structure""]","[""both_menisci"", ""both_menisci_negative_only"", ""target_local_association"", ""target_local_normality""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]"
Medial Meniscus,positive,3123,2476,0.20717259045789305,"[""v2_collective"", ""v2_exact"", ""v3_target""]","[""abnormality"", ""avulsion"", ""chondral_abnormality"", ""degeneration"", ""extrusion"", ""fracture"", ""sprain"", ""tear""]","[""both_menisci"", ""target_local_association""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]"
Medial Meniscus,uncertain,91,82,0.0989010989010989,"[""v2_collective"", ""v2_exact"", ""v3_target""]","[""abnormality"", ""chondral_abnormality"", ""degeneration"", ""extrusion"", ""sprain"", ""tear""]","[""both_menisci"", ""target_local_association""]","[""dutch"", ""english"", ""french"", ""german"", ""south_slavic"", ""spanish"", ""turkish""]"
Medial OA,negative,945,96,0.8984126984126984,"[""v2_collective"", ""v2_exact"", ""v3_target""]","[""abnormality_absent"", ""chondral_abnormality_absent"", ""normal_cartilage""]","[""compartment_normality"", ""compartment_scope"", ""tibiofemoral_compartments""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish""]"
Medial OA,positive,915,775,0.15300546448087432,"[""v2_collective"", ""v2_exact"", ""v3_target""]","[""abnormality"", ""chondral_abnormality"", ""degeneration"", ""fracture"", ""tear""]","[""compartment_scope"", ""tibiofemoral_compartments""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]"
Medial OA,uncertain,1,1,0.0,"[""v3_target""]","[""chondral_abnormality""]","[""compartment_scope""]","[""english""]"
PF OA,negative,1414,229,0.8380480905233381,"[""v2_collective"", ""v2_exact"", ""v3_target""]","[""abnormality_absent"", ""chondral_abnormality_absent"", ""normal_cartilage""]","[""compartment_normality"", ""compartment_scope"", ""tibiofemoral_compartments""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]"
PF OA,positive,1412,1267,0.10269121813031161,"[""v2_collective"", ""v2_exact"", ""v3_target""]","[""abnormality"", ""chondral_abnormality"", ""degeneration"", ""fracture"", ""tear""]","[""compartment_scope"", ""lateral_and_patellofemoral_compartments"", ""tibiofemoral_compartments""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]"
PF OA,uncertain,12,12,0.0,"[""v2_exact"", ""v3_target""]","[""chondral_abnormality""]","[""compartment_scope""]","[""dutch"", ""english""]"
Synovitis,negative,22,19,0.13636363636363635,"[""v2_exact"", ""v3_morphology""]","[""abnormality_absent"", ""synovitis_absent""]","[""synovitis_de""]","[""english"", ""german"", ""latin_other"", ""spanish""]"
Synovitis,positive,783,448,0.4278416347381865,"[""v2_exact"", ""v3_morphology""]","[""abnormality"", ""chondral_abnormality"", ""degeneration"", ""fracture"", ""sprain"", ""synovitis"", ""tear""]","[""synovitis_de"", ""synovitis_el"", ""synovitis_sl"", ""synovitis_tr""]","[""cyrillic_script"", ""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]"
Synovitis,uncertain,9,7,0.2222222222222222,"[""v2_exact""]","[""abnormality"", ""fracture""]",[],"[""english""]"
