language_group,target,pairs,positive,negative,uncertain,unknown,binary_resolved,resolved_rate
english,Lateral OA,1724,234,433,0,1057,667,0.38689095127610207
english,MCL,1724,234,1137,15,338,1371,0.7952436194895591
english,Medial Meniscus,1724,755,610,34,325,1365,0.7917633410672854
english,Medial OA,1724,323,366,1,1034,689,0.3996519721577726
english,PF OA,1724,509,508,8,699,1017,0.589907192575406
english,Synovitis,1724,294,14,8,1408,308,0.17865429234338748
french,ACL,80,12,45,1,22,57,0.7125
french,Baker's,80,33,46,0,1,79,0.9875
french,Contusion,80,6,1,0,73,7,0.0875
french,Effusion,80,79,0,0,1,79,0.9875
french,Fracture,80,7,28,0,45,35,0.4375
french,Lateral Meniscus,80,19,50,0,11,69,0.8625
french,Lateral OA,80,9,4,0,67,13,0.1625
french,MCL,80,5,56,0,19,61,0.7625
french,Medial Meniscus,80,47,19,1,13,66,0.825
french,Medial OA,80,13,3,0,64,16,0.2
french,PF OA,80,21,2,0,57,23,0.2875
french,Synovitis,80,9,0,0,71,9,0.1125
german,ACL,259,3,152,0,104,155,0.5984555984555985
german,Baker's,259,67,3,0,189,70,0.2702702702702703
german,Contusion,259,33,41,0,185,74,0.2857142857142857
german,Effusion,259,112,47,0,100,159,0.6138996138996139
german,Fracture,259,2,48,0,209,50,0.19305019305019305
german,Lateral Meniscus,259,28,135,4,92,163,0.6293436293436293
german,Lateral OA,259,15,14,0,230,29,0.11196911196911197
german,MCL,259,5,129,1,124,134,0.5173745173745173
german,Medial Meniscus,259,60,87,5,107,147,0.5675675675675675
german,Medial OA,259,24,8,0,227,32,0.12355212355212356
german,PF OA,259,75,57,0,127,132,0.5096525096525096
german,Synovitis,259,13,1,0,245,14,0.05405405405405406
greek_script,ACL,321,59,85,0,177,144,0.4485981308411215
greek_script,Baker's,321,105,0,0,216,105,0.32710280373831774
greek_script,Contusion,321,52,0,0,269,52,0.16199376947040497
greek_script,Effusion,321,216,34,0,71,250,0.778816199376947
greek_script,Fracture,321,43,2,0,276,45,0.14018691588785046
greek_script,Lateral Meniscus,321,55,74,0,192,129,0.40186915887850466
greek_script,Lateral OA,321,28,12,0,281,40,0.12461059190031153
greek_script,MCL,321,14,120,0,187,134,0.4174454828660436
greek_script,Medial Meniscus,321,123,57,0,141,180,0.5607476635514018
greek_script,Medial OA,321,50,9,0,262,59,0.1838006230529595
greek_script,PF OA,321,54,8,0,259,62,0.19314641744548286
greek_script,Synovitis,321,29,0,0,292,29,0.09034267912772585
latin_other,ACL,22,4,15,0,3,19,0.8636363636363636
latin_other,Baker's,22,2,8,0,12,10,0.45454545454545453
latin_other,Contusion,22,0,0,0,22,0,0.0
latin_other,Effusion,22,15,2,0,5,17,0.7727272727272727
latin_other,Fracture,22,1,3,0,18,4,0.18181818181818182
latin_other,Lateral Meniscus,22,2,17,0,3,19,0.8636363636363636
latin_other,Lateral OA,22,2,4,0,16,6,0.2727272727272727
latin_other,MCL,22,4,14,0,4,18,0.8181818181818182
latin_other,Medial Meniscus,22,4,12,0,6,16,0.7272727272727273
latin_other,Medial OA,22,2,4,0,16,6,0.2727272727272727
latin_other,PF OA,22,5,2,0,15,7,0.3181818181818182
latin_other,Synovitis,22,2,2,0,18,4,0.18181818181818182
south_slavic,ACL,403,161,163,31,48,324,0.8039702233250621
south_slavic,Baker's,403,136,215,1,51,351,0.8709677419354839
south_slavic,Contusion,403,11,0,1,391,11,0.02729528535980149
south_slavic,Effusion,403,265,86,2,50,351,0.8709677419354839
south_slavic,Fracture,403,16,3,2,382,19,0.04714640198511166
south_slavic,Lateral Meniscus,403,151,212,5,35,363,0.9007444168734491
south_slavic,Lateral OA,403,32,1,0,370,33,0.08188585607940446
south_slavic,MCL,403,37,297,1,68,334,0.8287841191066998
south_slavic,Medial Meniscus,403,221,84,26,72,305,0.7568238213399504
south_slavic,Medial OA,403,57,1,0,345,58,0.14392059553349876
south_slavic,PF OA,403,92,11,0,300,103,0.2555831265508685
south_slavic,Synovitis,403,4,0,0,399,4,0.009925558312655087
spanish,ACL,678,53,293,1,331,346,0.5103244837758112
spanish,Baker's,678,88,251,5,334,339,0.5
spanish,Contusion,678,37,0,0,641,37,0.05457227138643068
spanish,Effusion,678,282,171,0,225,453,0.668141592920354
spanish,Fracture,678,52,6,2,618,58,0.0855457227138643
spanish,Lateral Meniscus,678,124,251,2,301,375,0.5530973451327433
spanish,Lateral OA,678,74,181,0,423,255,0.37610619469026546
spanish,MCL,678,43,276,1,358,319,0.47050147492625366
spanish,Medial Meniscus,678,230,220,6,222,450,0.6637168141592921
spanish,Medial OA,678,91,171,0,416,262,0.3864306784660767
spanish,PF OA,678,85,197,0,396,282,0.415929203539823
spanish,Synovitis,678,102,4,0,572,106,0.15634218289085547
turkish,ACL,547,180,52,2,313,232,0.42413162705667273
turkish,Baker's,547,58,0,0,489,58,0.10603290676416818
turkish,Contusion,547,28,0,2,517,28,0.051188299817184646
turkish,Effusion,547,332,129,0,86,461,0.8427787934186471
turkish,Fracture,547,16,0,4,527,16,0.029250457038391225
turkish,Lateral Meniscus,547,192,284,2,69,476,0.870201096892139
turkish,Lateral OA,547,31,0,0,516,31,0.056672760511883
turkish,MCL,547,101,409,0,37,510,0.9323583180987203
turkish,Medial Meniscus,547,366,112,1,68,478,0.8738574040219378
turkish,Medial OA,547,63,0,0,484,63,0.11517367458866545
turkish,PF OA,547,100,6,0,441,106,0.19378427787934185
turkish,Synovitis,547,26,0,0,521,26,0.04753199268738574
