phenotype,propositions,unique_studies,selected_pair_participations,selected_winning_pair_participations,targets,statuses,detectors,languages,rules
joint_effusion_absent,676,631,629,617,"[""Effusion""]","[""negative""]","[""v3_morphology""]","[""english"", ""german"", ""greek_script"", ""turkish""]","[""effusion_de_root"", ""effusion_el_root"", ""effusion_en_plural"", ""effusion_tr_root""]"
fracture,651,294,318,318,"[""ACL"", ""Contusion"", ""Effusion"", ""Fracture"", ""Lateral OA"", ""MCL"", ""Medial Meniscus"", ""Medial OA"", ""PF OA"", ""Synovitis""]","[""positive"", ""uncertain""]","[""v2_exact"", ""v3_morphology""]","[""cyrillic_script"", ""english"", ""french"", ""german"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""fracture_cyr"", ""fracture_de"", ""fracture_el"", ""fracture_en"", ""fracture_fr"", ""fracture_sl"", ""fracture_tr""]"
fracture_absent,647,589,589,577,"[""Fracture""]","[""negative""]","[""v3_morphology""]","[""cyrillic_script"", ""english"", ""french"", ""german"", ""greek_script"", ""south_slavic""]","[""fracture_cyr"", ""fracture_de"", ""fracture_el"", ""fracture_en"", ""fracture_fr"", ""fracture_sl""]"
bone_contusion,486,327,325,323,"[""Contusion""]","[""positive"", ""uncertain""]","[""v3_morphology""]","[""cyrillic_script"", ""english"", ""greek_script"", ""south_slavic"", ""turkish""]","[""contusion_cyr"", ""contusion_el"", ""contusion_en"", ""contusion_sl"", ""contusion_tr""]"
bone_contusion_absent,456,454,454,447,"[""Contusion""]","[""negative""]","[""v3_morphology""]","[""english"", ""greek_script""]","[""contusion_el"", ""contusion_en""]"
sprain,368,253,267,266,"[""ACL"", ""Baker's"", ""Contusion"", ""Lateral Meniscus"", ""MCL"", ""Medial Meniscus"", ""Synovitis""]","[""positive"", ""uncertain""]","[""v2_collective"", ""v2_exact"", ""v3_target""]","[""dutch"", ""english"", ""greek_script"", ""latin_other"", ""south_slavic"", ""spanish"", ""turkish""]","[""both_menisci"", ""target_local_association""]"
baker_cyst_absent,344,342,342,339,"[""Baker's""]","[""negative""]","[""v3_morphology""]","[""dutch"", ""english"", ""south_slavic""]","[""baker_nl"", ""baker_sl"", ""baker_variants""]"
extrusion,93,80,65,65,"[""Effusion"", ""Lateral Meniscus"", ""MCL"", ""Medial Meniscus""]","[""positive"", ""uncertain""]","[""v2_exact"", ""v3_target""]","[""dutch"", ""english"", ""french"", ""german"", ""greek_script"", ""south_slavic"", ""spanish"", ""turkish""]","[""target_local_association""]"
synovitis,80,64,64,64,"[""Synovitis""]","[""positive"", ""uncertain""]","[""v3_morphology""]","[""german"", ""greek_script"", ""south_slavic"", ""turkish""]","[""synovitis_de"", ""synovitis_el"", ""synovitis_sl"", ""synovitis_tr""]"
avulsion,74,33,21,20,"[""ACL"", ""Fracture"", ""Lateral Meniscus"", ""MCL"", ""Medial Meniscus""]","[""positive"", ""uncertain""]","[""v2_collective"", ""v2_exact"", ""v3_target""]","[""english"", ""french"", ""latin_other"", ""spanish""]","[""both_menisci"", ""target_local_association""]"
synovitis_absent,1,1,1,1,"[""Synovitis""]","[""negative""]","[""v3_morphology""]","[""german""]","[""synovitis_de""]"
