record_type,split,target,label,studies,split_groups,examples
target_label,test,Lateral Meniscus,no_evidence,250,248,338
target_label,test,Lateral Meniscus,positive,142,142,224
target_label,test,Lateral Meniscus,uncertain,11,11,18
target_label,test,Lateral OA,negative,108,106,108
target_label,test,Lateral OA,no_evidence,254,254,335
target_label,test,Lateral OA,positive,78,78,105
target_label,test,MCL,negative,240,237,243
target_label,test,MCL,no_evidence,266,266,338
target_label,test,MCL,positive,64,64,103
target_label,test,MCL,uncertain,2,2,3
target_label,test,Medial Meniscus,negative,135,135,135
target_label,test,Medial Meniscus,no_evidence,260,259,343
target_label,test,Medial Meniscus,positive,305,305,494
target_label,test,Medial Meniscus,uncertain,12,12,18
target_label,test,Medial OA,negative,89,87,89
target_label,test,Medial OA,no_evidence,250,249,337
target_label,test,Medial OA,positive,115,115,162
target_label,test,PF OA,negative,131,127,134
target_label,test,PF OA,no_evidence,249,249,346
target_label,test,PF OA,positive,148,148,225
target_label,test,PF OA,uncertain,2,2,2
target_label,test,Synovitis,negative,3,3,4
target_label,test,Synovitis,no_evidence,252,251,346
target_label,test,Synovitis,positive,90,90,137
target_label,test,Synovitis,uncertain,1,1,2
